代號,名稱,當日收盤價,當日買賣超金額(萬元),5日買賣超金額(萬元),1個月買賣超金額(萬元),當日漲幅(%),5日漲幅(%),1個月漲幅(%),當日買超(張),5日買超(張),1個月買超(張)
2330,台積電          ,118.4742660522461,224042.64,421828.25,-1668579.56,0.32,1.95,0.0,18910.659,35605.053,-140838.987
2317,鴻海            ,60.2841682434082,72157.64,-4952.04,-1143712.45,1.4,2.71,0.0,11969.584,-821.4489999999996,-189720.201
2498,宏達電          ,80.11725616455078,52332.59,216630.85,181411.44,0.86,21.69,0.0,6532.0,27039.225000000002,22643.242000000002
2454,聯發科          ,131.0273895263672,47614.82,50125.45,-315032.99,1.88,3.1,0.0,3633.959,3825.5699999999997,-24043.293
3008,大立光          ,2068.5478515625,40791.56,68960.01,396118.43,2.61,1.66,0.0,197.199,333.374,1914.959
0050,元大台灣50      ,11.47033977508545,27939.45,101660.62,-39904.76,0.88,1.85,0.0,24358.0,88629.13,-34789.52
1536,和大            ,122.0630874633789,27451.99,10703.79,-11318.34,4.71,5.07,0.0,2249.0,876.906,-927.2529999999999
1216,統一            ,41.22814178466797,21084.21,31141.47,104075.66,2.33,1.48,0.0,5114.034,7553.45,25243.84
2355,敬鵬            ,51.190216064453125,19820.85,30432.58,55951.9,6.15,8.21,0.0,3872.0,5945.0,10930.194
2474,可成            ,145.2509002685547,15162.15,-7115.68,-95261.28,0.61,-2.37,0.0,1043.859,-489.889,-6558.3949999999995
2882,國泰金          ,23.752296447753906,14204.17,47028.66,-146653.96,1.2,3.68,0.0,5980.126,19799.626,-61743.065
2357,華碩            ,147.5427703857422,12020.29,11069.35,-114199.86,3.85,5.4,0.0,814.699,750.247,-7740.119000000001
2354,鴻準            ,51.062286376953125,11938.36,62709.59,166480.0,0.41,2.09,0.0,2338.0,12280.999,32603.318
2892,第一金          ,8.623956680297852,11821.74,35463.31,12866.58,0.92,2.49,0.0,13708.027,41121.851,14919.578000000001
9904,寶成            ,29.167362213134766,11586.45,30725.37,45656.98,2.22,3.55,0.0,3972.403,10534.161,15653.449999999999
2455,全新            ,49.39637756347656,10812.87,10011.66,-10038.26,4.01,4.76,0.0,2189.0,2026.8,-2032.185
1707,葡萄王          ,137.04261779785156,10497.46,14718.38,30531.78,3.46,2.7,0.0,766.0,1074.0,2227.904
4938,和碩            ,35.72944641113281,9781.1,-11045.49,-177678.71,1.5,1.81,0.0,2737.547,-3091.425,-49728.929
1301,台塑            ,51.317684173583984,9226.26,21780.95,-58554.31,0.89,2.73,0.0,1797.872,4244.336,-11410.162
3231,緯創            ,11.441268920898438,9221.66,38940.24,65370.86,0.73,2.23,0.0,8060.0,34034.897,57136.025
1303,南亞            ,38.466129302978516,9190.89,-7568.68,-165438.03,1.81,1.81,0.0,2389.346,-1967.623,-43008.754
2105,正新            ,44.27881622314453,8882.51,66709.26,77360.74,0.15,1.49,0.0,2006.041,15065.727,17471.275
2002,中鋼            ,14.572049140930176,8798.58,-14586.21,-247131.56,0.0,0.49,0.0,6037.983,-10009.720000000001,-169592.869
1476,儒鴻            ,236.98915100097656,8783.29,33293.56,-296.59,3.64,11.04,0.0,370.62,1404.8559999999998,-12.514999999999816
4904,遠傳            ,49.78804397583008,8156.44,2603.59,76936.14,0.4,-1.19,0.0,1638.232,522.9339999999999,15452.735
8341,日友            ,107.34149932861328,7674.92,23133.75,36860.81,2.95,8.28,0.0,715.0,2155.154,3433.976
2912,統一超          ,171.3050079345703,7155.7,17265.16,4984.48,2.49,2.28,0.0,417.717,1007.861,290.971
2886,兆豐金          ,13.753928184509277,7040.12,18572.5,26403.88,0.64,1.07,0.0,5118.627,13503.418000000001,19197.338000000003
1789,神隆            ,37.50704574584961,6364.95,3915.74,-7089.98,7.36,6.63,0.0,1697.0,1044.0,-1890.306
2356,英業達          ,13.105778694152832,6137.44,27038.19,39377.19,0.92,4.01,0.0,4683.0,20630.74,30045.672
2308,台達電          ,111.58594512939453,5929.48,7974.94,-197751.35,3.5,4.59,0.0,531.382,714.6899999999999,-17721.887
2884,玉山金          ,7.74522590637207,5913.01,-6283.28,-94913.27,1.97,2.84,0.0,7634.399,-8112.4580000000005,-122544.23
4915,致伸            ,23.92469596862793,5840.14,3134.03,13153.13,2.07,1.15,0.0,2441.052,1309.9540000000002,5497.7210000000005
