代號,名稱,當日收盤價,當日買賣超金額(萬元),5日買賣超金額(萬元),1個月買賣超金額(萬元),當日漲幅(%),5日漲幅(%),1個月漲幅(%),當日買超(張),5日買超(張),1個月買超(張)
2002,中鋼            ,16.607851028442383,27820.56,169728.94,344985.55,1.09,2.42,5.2,16751.453,102198.016,207724.374
2454,聯發科          ,143.13157653808594,24465.48,35134.58,-58003.51,3.73,1.72,-3.07,1709.3,2454.705,-4052.4610000000002
2330,台積電          ,119.2289047241211,19877.63,92741.37,298935.43,0.32,0.32,-0.63,1667.182,7778.4299999999985,25072.395999999997
1301,台塑            ,52.42059326171875,14050.35,77552.31,267920.39,-1.34,-0.98,1.51,2680.312,14794.244999999999,51109.759
2308,台達電          ,114.60176086425781,13421.94,85257.52,217875.41,0.66,3.4,10.95,1171.181,7439.46,19011.524
3008,大立光          ,1689.37646484375,11706.03,-72576.12,151211.36,3.69,-5.46,-7.02,69.292,-429.60299999999995,895.072
2882,國泰金          ,22.878358840942383,11426.87,26087.48,-163151.48,0.96,1.66,-1.74,4994.618,11402.688,-71312.58
2357,華碩            ,150.14952087402344,10816.22,41919.43,72620.19,0.17,0.7,0.52,720.363,2791.846,4836.525
2412,中華電          ,73.47953033447266,10744.39,127468.32,279623.44,-1.35,0.46,0.92,1462.229,17347.46,38054.603
2105,正新            ,44.798980712890625,9981.39,96536.6,370243.77,0.15,0.58,7.49,2228.04,21548.839,82645.579
2317,鴻海            ,60.81497573852539,9506.74,-5666.5,180513.32,-0.12,-1.6,-4.18,1563.223,-931.7599999999984,29682.379
2886,兆豐金          ,13.347695350646973,9246.63,46767.64,108508.43,0.0,0.0,0.44,6927.513,35037.987,81293.754
2881,富邦金          ,20.0699462890625,7751.45,13467.8,30972.36,1.13,0.5,2.03,3862.217,6710.43,15432.208999999999
4904,遠傳            ,48.526737213134766,7276.11,41923.52,83555.18,-0.41,0.55,2.09,1499.402,8639.262,17218.379
1303,南亞            ,39.95754623413086,7148.25,36915.75,161309.47,-0.31,-2.58,-3.31,1788.96,9238.744,40370.215
3045,台灣大          ,68.32989501953125,6164.54,26067.48,77680.41,0.47,0.0,2.9,902.173,3814.9449999999997,11368.437
1326,台化            ,54.20186996459961,6116.62,57224.95,357981.16,-0.36,-2.67,6.62,1128.489,10557.743999999999,66045.905
2891,中信金          ,9.52469539642334,6020.52,23681.41,-25407.01,0.3,0.61,-0.3,6320.962,24863.171000000002,-26674.880000000005
8464,億豐            ,177.228271484375,5228.23,15634.37,133533.03,0.19,-4.81,9.83,295.0,882.16,7534.522
9938,百和            ,71.3791275024414,5182.12,31635.23,39195.2,0.72,2.28,3.14,726.0,4432.0,5491.129
1477,聚陽            ,90.62876892089844,5070.22,-41544.88,-82014.5,2.4,-6.04,-12.76,559.449,-4584.072,-9049.499
6505,台塑化          ,63.89231491088867,4949.58,42377.89,165421.25,-0.33,-1.61,1.33,774.676,6632.706,25890.633
2379,瑞昱            ,57.87714767456055,4768.87,18239.92,87827.42,1.38,-0.11,0.46,823.964,3151.489,15174.801
2885,元大金          ,6.280127048492432,4668.53,7591.3,-36049.87,1.4,1.4,-4.39,7433.822,12087.807999999999,-57403.097
2449,京元電子        ,17.215730667114258,4439.39,21018.21,66523.77,0.0,2.58,0.72,2578.68,12208.724,38641.269
1704,榮化            ,30.21221160888672,4428.91,17872.95,62178.4,0.56,-0.42,5.93,1465.934,5915.802,20580.551
2049,上銀            ,110.75780487060547,4319.55,10188.61,11334.51,1.67,2.01,11.31,390.0,919.9,1023.3600000000001
6285,啟碁            ,52.470550537109375,4310.08,15714.3,5831.86,1.29,1.89,2.26,821.428,2994.88,1111.454
1476,儒鴻            ,263.3211975097656,4304.91,21386.74,-30192.01,0.0,0.53,-7.54,163.485,812.192,-1146.5849999999998
9802,鈺齊-KY         ,38.8908576965332,4274.11,7185.86,2817.56,7.28,13.21,16.54,1099.0,1847.7,724.48
2103,台橡            ,20.431692123413086,4218.99,9678.33,41002.98,3.64,0.17,13.26,2064.922,4736.9220000000005,20068.322
2485,兆赫            ,42.981319427490234,4165.83,-24952.14,-73182.47,3.8,-5.93,-18.41,969.218,-5805.346,-17026.575
4938,和碩            ,36.89223861694336,4103.23,-21060.36,-123920.36,1.9,-0.99,-6.93,1112.221,-5708.616,-33589.819
2887,台新新光金      ,5.780429363250732,4091.47,4695.44,-1196.27,0.83,2.09,8.93,7078.135,8122.99,-2069.523000000001
3702,大聯大          ,21.2841854095459,4053.33,11830.38,14939.86,1.75,1.6,3.25,1904.388,5558.295,7019.228999999999
0050,元大台灣50      ,11.53391170501709,3612.42,1370.81,63583.92,0.4,-0.16,-0.24,3132.0,1188.5,55127.8
4137,麗豐-KY         ,144.90057373046875,3506.59,3723.94,-6446.09,0.81,0.2,-5.87,242.0,257.0,-444.86299999999994
3514,昱晶            ,23.125057220458984,3489.57,2087.52,-29471.51,7.03,-4.65,-5.98,1509.0,902.7070000000001,-12744.403999999999
1590,亞德客-KY       ,181.891845703125,3368.89,6672.96,31686.74,3.29,1.85,23.6,185.214,366.8640000000001,1742.065
1707,葡萄王          ,136.38845825195312,3368.79,16996.61,30017.99,0.97,0.48,16.16,247.0,1246.191,2200.919
1102,亞泥            ,17.321029663085938,3276.93,7595.73,20262.32,0.85,1.2,1.37,1891.879,4385.262,11698.106
2455,全新            ,48.22492218017578,3033.39,-8159.54,-85213.85,4.0,1.23,-9.69,629.008,-1691.9759999999999,-17670.085
1312,國喬            ,12.791952133178711,2811.01,7700.74,52541.8,0.29,-2.57,0.59,2197.486,6019.987,41074.108
3035,智原            ,35.620540618896484,2578.93,7736.78,8293.89,1.98,-0.32,10.9,724.0,2172.0,2328.4
2201,裕隆            ,35.7756462097168,2321.46,2413.5,9568.18,0.68,-1.67,-2.48,648.894,674.62,2674.495
2015,豐興            ,25.789514541625977,2272.06,3886.82,11074.39,2.71,2.71,12.98,881.0,1507.132,4294.146
2382,廣達            ,31.203956604003906,2209.9,13349.38,41700.18,0.73,-1.96,-1.08,708.213,4278.106,13363.746
9910,豐泰            ,64.6613540649414,2183.63,-3763.89,-18663.72,3.42,-4.73,-11.18,337.703,-582.092,-2886.379
1473,台南            ,30.601720809936523,2010.53,8143.12,1903.43,4.7,18.49,12.05,657.0,2661.0,622.0
2204,中華            ,27.646860122680664,1904.0,7739.78,15984.26,0.89,-1.52,-1.09,688.684,2799.515,5781.581
2489,瑞軒            ,16.322736740112305,1877.11,6041.04,30937.11,0.5,0.0,7.82,1150.0,3701.0,18953.382
4915,致伸            ,23.227270126342773,1718.72,10668.92,-10135.42,0.0,4.36,4.08,739.957,4593.274,-4363.584999999999
1305,華夏            ,8.191436767578125,1697.27,2153.53,4893.56,3.95,0.32,-1.25,2072.0,2629.0,5974.0
2392,正崴            ,26.2705135345459,1606.31,-747.91,-11571.54,1.2,1.81,-1.4,611.451,-284.697,-4404.765
6230,尼得科超眾      ,94.61426544189453,1580.06,586.61,-14421.77,4.52,-7.6,-6.48,167.0,62.0,-1524.27
3665,貿聯-KY         ,139.760009765625,1574.82,-1512.86,-8197.19,1.76,-3.12,26.25,112.68,-108.24699999999996,-586.5189999999997
2481,強茂            ,13.587306022644043,1561.18,2362.83,1789.38,2.65,1.16,8.39,1149.0,1739.0,1316.9470000000001
8105,凌巨            ,18.256731033325195,1405.77,-2974.02,-2848.06,8.68,2.11,-11.82,770.0,-1629.0,-1560.0079999999998
2609,陽明            ,8.916109085083008,1402.5,-455.94,2790.86,3.86,1.53,0.7,1573.0,-511.37099999999987,3130.129
4934,太極            ,29.32103157043457,1339.97,1474.85,6737.97,9.94,-7.3,-19.1,457.0,503.0,2298.0
2723,美食-KY         ,159.0822296142578,1326.4,2547.45,20273.57,0.0,0.57,4.13,83.378,160.13400000000001,1274.4080000000001
2439,美律            ,36.351097106933594,1265.02,-1752.12,14060.12,1.81,-1.28,13.37,348.0,-482.0,3867.868
8341,日友            ,97.0859375,1252.41,19252.14,12291.97,-1.39,1.43,8.81,129.0,1983.0,1266.092
2884,玉山金          ,7.702436923980713,1215.32,-9280.01,-49382.59,0.56,0.0,0.0,1577.832,-12048.147999999997,-64112.948
2352,佳世達          ,7.373920917510986,1210.33,2258.72,7487.36,1.45,0.0,1.94,1641.372,3063.116,10153.834
3041,揚智            ,53.957435607910156,1208.65,-1483.83,4564.8,2.74,-3.51,-11.78,224.0,-275.0,846.0
1527,鑽全            ,47.0954475402832,1182.1,-4488.2,37670.15,2.88,-1.92,4.69,251.0,-953.0,7998.6810000000005
3023,信邦            ,45.760982513427734,1163.81,-47.83,2950.94,-0.15,4.17,5.47,254.324,-10.452999999999975,644.859
8210,勤誠            ,32.90275192260742,1161.47,5715.21,11619.94,-0.19,0.0,19.4,353.0,1737.0,3531.6
2355,敬鵬            ,46.17710494995117,1125.0,5873.19,39197.89,-0.76,-1.8,14.34,243.628,1271.884,8488.598
1521,大億            ,50.60953140258789,1088.1,-516.22,-7045.86,2.47,0.64,-2.11,215.0,-102.0,-1392.2
2903,遠百            ,10.890519142150879,1059.69,2743.45,6745.64,2.03,-1.12,5.39,973.038,2519.114,6194.052
5288,豐祥-KY         ,70.0029296875,1043.04,9576.4,7497.31,-0.47,10.25,14.89,149.0,1368.0,1071.0
2106,建大            ,35.629634857177734,1027.98,19866.04,34922.61,1.24,0.71,11.31,288.517,5575.708,9801.563
2354,鴻準            ,48.210044860839844,1017.33,19904.7,114926.95,-0.57,-1.84,-0.72,211.021,4128.746,23838.798
3231,緯創            ,10.663707733154297,981.78,-4171.34,-59125.36,1.32,-1.03,1.05,920.678,-3911.719,-55445.41
2542,興富發          ,16.793603897094727,969.55,-62.41,3476.63,0.61,-1.29,5.19,577.332,-37.16100000000006,2070.208
6257,矽格            ,13.431427001953125,961.69,-357.28,-1219.57,2.32,-2.02,3.62,716.0,-266.0,-908.0
2707,晶華            ,108.64578247070312,958.99,4761.6,-8813.6,0.26,1.04,0.0,88.268,438.26800000000003,-811.223
2880,華南金          ,8.144013404846191,937.76,5319.02,19448.21,0.0,-0.32,0.0,1151.476,6531.204,23880.373
2207,和泰車          ,234.6459197998047,925.98,-2721.12,-8926.45,1.06,-1.33,-3.76,39.463,-115.96699999999998,-380.4219999999999
2301,光寶科          ,21.537036895751953,868.46,8568.42,86720.69,-0.5,-1.49,4.46,403.24,3978.46,40265.84
3057,喬鼎            ,45.65538787841797,835.49,-926.8,-1707.51,9.72,-3.36,-7.6,183.0,-203.0,-374.0
1909,榮成            ,9.599248886108398,806.34,3195.59,13101.67,0.36,-0.72,9.49,840.0,3329.0,13648.643
3003,健和興          ,32.019683837890625,787.68,409.85,-1370.44,1.79,-0.12,12.5,246.0,128.0,-428.0
1504,東元            ,17.56300926208496,698.03,3126.27,-4487.94,-0.38,-0.19,-0.19,397.444,1780.0320000000002,-2555.3379999999997
8150,南茂            ,21.667661666870117,686.86,268.68,-3369.49,7.38,3.56,-4.19,317.0,124.0,-1555.08
9921,巨大            ,152.0404052734375,677.83,8376.44,-19566.67,1.26,5.79,0.0,44.582,550.935,-1286.939
4952,凌通            ,21.99207878112793,657.56,754.33,2585.83,1.56,-0.93,1.56,299.0,343.0,1175.8
3450,聯鈞            ,79.10284423828125,635.94,-14365.34,-2204.11,2.83,0.31,-8.66,80.394,-1816.033,-278.6390000000001
6213,聯茂            ,19.205204010009766,631.85,1716.95,5728.91,0.0,1.9,7.86,329.0,894.0,2983.0
6415,矽力*-KY        ,101.4472885131836,626.34,3187.77,8348.37,1.51,2.71,7.78,61.74,314.22900000000004,822.927
4119,旭富            ,46.95556640625,619.81,-281.73,8963.82,0.48,-1.86,10.64,132.0,-60.0,1909.0
1605,華新            ,5.732094764709473,606.28,5251.0,11545.44,1.15,3.17,4.02,1057.69,9160.705,20141.739
6239,力成            ,41.72119903564453,604.87,1608.11,34993.31,1.45,-0.85,-1.82,144.98,385.441,8387.416
1340,勝悅-KY         ,53.13195037841797,568.51,5483.22,3717.64,0.67,7.9,11.76,107.0,1032.0,699.7
6451,訊芯-KY         ,71.3030776977539,534.77,912.68,613.21,4.94,0.32,-8.43,75.0,128.0,86.0
2834,臺企銀          ,4.621598243713379,522.19,999.4,6018.88,0.82,0.59,0.94,1129.881,2162.46,13023.365000000002
4106,雃博            ,32.37250518798828,501.77,1291.66,3612.77,1.46,-0.48,-1.3,155.0,399.0,1116.0
6206,飛捷            ,64.0486831665039,497.45,3499.5,7159.71,1.35,3.2,1.35,77.667,546.3820000000001,1117.854
8163,達方            ,10.543190002441406,493.42,682.14,3493.45,2.26,0.0,0.0,468.0,647.0,3313.468
1537,廣隆            ,72.1510009765625,483.41,-919.59,-2420.33,1.52,-4.29,-2.55,67.0,-127.453,-335.453
1101,台泥            ,15.707136154174805,464.31,14985.2,79937.58,-0.75,-1.64,7.33,295.603,9540.380000000001,50892.524
6269,台郡            ,46.695716857910156,449.79,-14919.81,-29500.36,-0.39,-1.67,-5.56,96.323,-3195.114,-6317.5740000000005
