代號,名稱,當日收盤價,當日買賣超金額(萬元),5日買賣超金額(萬元),1個月買賣超金額(萬元),當日漲幅(%),5日漲幅(%),1個月漲幅(%),當日買超(張),5日買超(張),1個月買超(張)
2344,華邦電          ,154.0,302408.12,-922407.12,3479249.4,-4.94,-8.33,31.06,19636.891,-59896.56599999999,225925.28600000002
8996,高力            ,1210.0,190634.41,337490.05,302517.3,7.56,15.79,14.69,1575.491,2789.174,2500.143
6409,旭隼            ,900.0,159293.25,285295.59,110280.24,-3.02,26.23,17.8,1769.925,3169.951,1225.3359999999998
3036,文曄            ,250.0,150437.78,-6530.9,-295989.6,-8.49,-10.56,-2.79,6017.511,-261.23599999999965,-11839.584
3008,大立光          ,3535.0,114536.83,-65289.68,1130665.51,-3.94,-7.82,38.9,324.008,-184.69500000000002,3198.488
3017,奇鋐            ,2570.0,97080.21,-66934.62,-23557.13,-1.15,-7.72,0.59,377.744,-260.44600000000025,-91.66200000000015
3702,大聯大          ,108.0,89572.66,185177.28,30950.63,-5.68,-8.86,-5.26,8293.765,17146.043999999998,2865.799
3653,健策            ,3820.0,82254.53,-46899.29,-348767.15,5.52,-0.52,-4.86,215.326,-122.773,-913.003
2382,廣達            ,376.5,61826.95,1241005.67,-130467.34,-3.59,1.07,9.61,1642.15,32961.638000000006,-3465.2679999999987
3189,景碩            ,698.0,60434.79,-35636.46,1831097.67,-1.97,-9.82,38.77,865.828,-510.55099999999993,26233.490999999998
2408,南亞科          ,339.5,59327.49,-513457.19,2112280.08,-5.69,-11.01,12.79,1747.496,-15123.922999999999,62217.38100000001
2887,台新新光金      ,27.75,54044.27,701736.93,825935.14,-2.97,12.8,18.34,19475.413,252878.174,297634.283
3376,新日興          ,236.5,51342.49,190731.86,421178.71,-0.21,10.0,14.53,2170.93,8064.772,17808.825
1303,南亞            ,97.5,48893.89,290457.54,1028849.44,-6.7,-9.3,6.56,5014.758,29790.517,105523.019
2357,華碩            ,844.0,43546.01,689771.58,1921278.65,-6.22,0.84,23.03,515.948,8172.648999999999,22763.965
8046,南電            ,829.2596435546875,43367.96,319024.98,-222463.74,-1.66,-8.18,-8.48,522.972,3847.106,-2682.679
2376,技嘉            ,345.0,41906.12,204317.8,690521.02,-6.5,-10.85,6.32,1214.67,5922.255,20015.102
2492,華新科          ,400.0,33213.12,305126.68,1929037.16,-3.85,-3.85,133.24,830.328,7628.1669999999995,48225.929
2474,可成            ,220.0,31280.5,-75272.74,-810033.64,-4.56,-1.57,5.77,1421.841,-3421.488,-36819.711
8454,富邦媒          ,379.3681945800781,31268.93,149451.83,94581.8,9.92,60.66,100.0,824.237,3939.493,2493.14
2890,永豐金          ,31.899999618530273,29234.15,391037.25,425848.64,-2.45,4.76,4.25,9164.312,122582.211,133494.87399999998
3045,台灣大          ,115.0,28302.77,168653.93,522421.44,-0.86,0.88,4.55,2461.11,14665.559,45427.950999999994
2360,致茂            ,2429.45166015625,26884.07,284192.4,379682.72,-4.48,-5.04,3.81,110.659,1169.78,1562.833
2059,川湖            ,6180.0,26294.05,-22707.79,-75443.59,9.96,18.5,11.96,42.547,-36.74399999999999,-122.077
2467,志聖            ,562.6597900390625,25740.79,-53109.4,10809.31,-2.07,-10.83,-3.73,457.484,-943.8990000000001,192.11099999999988
1513,中興電          ,169.5,24068.39,88006.77,-139566.37,-0.59,0.59,6.94,1419.964,5192.14,-8234.004
1477,聚陽            ,225.0,22509.47,-3984.43,-61837.56,-1.32,1.12,3.21,1000.421,-177.08599999999996,-2748.3360000000002
3034,聯詠            ,473.0,21981.59,61751.19,777081.96,-3.86,-4.73,-4.73,464.727,1305.522,16428.794
6890,來億-KY         ,249.5,21935.72,130788.32,150439.07,2.89,42.98,54.97,879.187,5242.017,6029.622
2881,富邦金          ,116.0,21697.23,-49940.81,850984.6,-1.69,4.98,21.47,1870.451,-4305.242,73360.74100000001
1319,東陽            ,92.87056732177734,21368.83,85868.48,49868.68,-0.1,11.77,21.04,2300.926,9246.038,5369.697000000001
2880,華南金          ,33.5,20391.63,152334.32,-90712.59,-3.74,1.98,0.75,6087.055,45472.931,-27078.384
8021,尖點            ,460.0,19638.87,58304.72,197332.82,0.44,-0.86,7.23,426.932,1267.4940000000001,4289.844
6197,佳必琪          ,327.0,18127.02,-21939.61,-120703.91,0.62,5.83,42.79,554.343,-670.9360000000001,-3691.251
6278,台表科          ,197.5,18079.68,33838.98,-375471.58,-4.36,-9.82,-8.35,915.427,1713.366,-19011.218999999997
3026,禾伸堂          ,597.135498046875,17757.44,42226.26,451612.62,-3.99,-10.57,82.4,297.377,707.147,7562.984
2597,潤弘            ,174.7772979736328,15696.85,104745.21,121078.42,0.0,10.81,15.31,898.106,5993.067,6927.583
3029,零壹            ,103.5,15634.08,-144.08,-6705.55,-3.72,-1.9,4.44,1510.539,-13.92100000000005,-647.879
2347,聯強            ,85.30000305175781,15540.34,11196.09,-35797.67,-3.4,-1.39,-1.27,1821.845,1312.555,-4196.679
2884,玉山金          ,32.900001525878906,15424.69,283537.44,-116956.79,-1.35,4.61,1.86,4688.355,86181.59,-35549.174
6789,采鈺            ,484.77655029296875,14174.77,-179.42,-19200.21,-4.97,-10.88,-18.75,292.398,-3.700999999999965,-396.06299999999993
6285,啟碁            ,273.5,13774.36,28605.67,310464.32,-6.34,-12.9,5.6,503.633,1045.911,11351.528999999999
7610,聯友金屬-創     ,1780.0,13539.57,55791.25,26256.6,1.71,10.22,114.46,76.065,313.43399999999997,147.50900000000001
6719,力智            ,219.5,12865.53,19063.25,-56869.97,-7.97,-9.86,15.53,586.129,868.4850000000001,-2590.887
3006,晶豪科          ,207.0,12415.28,-73074.77,135545.69,-6.97,-17.2,-6.76,599.772,-3530.181999999999,6548.101000000001
6491,晶碩            ,320.0,12139.74,24522.14,64426.69,-1.39,-0.78,12.08,379.367,766.317,2013.334
4958,臻鼎-KY         ,512.0,12091.29,-527224.73,-149799.58,2.28,-5.93,25.12,236.158,-10297.358,-2925.772999999998
6805,富世達          ,1895.0,11722.09,201131.13,508609.85,-2.82,-10.61,-5.01,61.858,1061.378,2683.957
2484,希華            ,55.29999923706055,11612.34,17976.93,27236.44,4.73,3.95,39.65,2099.88,3250.8019999999997,4925.214999999999
2367,燿華            ,60.5,11323.77,-64140.92,-96379.53,-4.12,-10.24,-3.35,1871.697,-10601.805,-15930.501000000004
7750,新代            ,2185.0,11306.94,11329.22,328175.86,-3.32,-2.89,-21.82,51.748,51.85,1501.949
5871,中租-KY         ,115.5,11272.07,216523.2,64230.22,-2.12,6.45,3.12,975.937,18746.597,5561.058
4576,大銀微系統      ,210.0,11053.73,-2785.73,157.98,-4.76,-20.15,-16.17,526.368,-132.65399999999994,7.522999999999911
