代號,名稱,當日收盤價,當日買賣超金額(萬元),5日買賣超金額(萬元),1個月買賣超金額(萬元),當日漲幅(%),5日漲幅(%),1個月漲幅(%),當日買超(張),5日買超(張),1個月買超(張)
2330,台積電          ,123.00200653076172,86849.0,36123.86,1746495.34,1.56,0.0,5.84,7060.779,2936.8509999999997,141989.175
2308,台達電          ,114.60176849365234,20216.23,9018.38,113136.18,2.01,0.0,7.42,1764.042,786.9319999999997,9872.115
2474,可成            ,140.2624969482422,19439.33,5553.89,131653.2,0.63,0.0,-5.72,1385.925,395.96399999999994,9386.201
5288,豐祥-KY         ,79.20520782470703,18367.69,33781.02,40980.77,6.17,0.0,22.58,2319.0,4265.0,5174.0
1216,統一            ,42.9013557434082,15935.42,29386.91,206388.78,0.16,0.0,5.6,3714.432,6849.878,48107.752
2301,光寶科          ,23.80979347229004,13894.41,45730.34,175349.17,1.27,0.0,7.84,5835.587,19206.526,73645.816
2412,中華電          ,75.14952087402344,13796.05,1095.66,114428.59,0.45,0.0,2.27,1835.813,145.7970000000002,15226.789
3045,台灣大          ,73.46265411376953,13341.54,35783.71,41015.22,0.88,0.0,3.62,1816.098,4871.007,5583.139
3008,大立光          ,2226.22265625,13134.71,-9600.14,292052.81,0.34,0.0,9.41,59.0,-43.122999999999976,1311.876
1102,亞泥            ,15.53021240234375,13118.37,13082.79,30665.42,5.17,0.0,8.18,8447.0,8424.09,19745.654
2912,統一超          ,170.26258850097656,12996.6,21165.51,87620.26,2.08,0.0,1.66,763.327,1243.11,5146.184
2498,宏達電          ,86.28012084960938,10377.34,-21487.39,503415.59,0.0,0.0,31.05,1202.75,-2490.4220000000005,58346.649
3034,聯詠            ,56.971832275390625,10340.39,9472.22,-40161.53,4.61,0.0,8.1,1815.0,1662.615,-7049.366
2383,台光電          ,50.230403900146484,9714.56,23362.64,35957.25,3.2,0.0,9.23,1934.0,4651.095,7158.464
2357,華碩            ,146.76072692871094,9087.38,-2667.66,31660.43,0.54,0.0,4.84,619.197,-181.76899999999995,2157.282
2353,宏碁            ,9.614432334899902,8914.68,23293.78,100480.18,0.0,0.0,29.49,9272.184,24227.934,104509.739
2880,華南金          ,8.582140922546387,7824.18,8042.65,55059.43,1.52,0.0,5.05,9116.816,9371.375,64155.827000000005
1326,台化            ,51.935359954833984,7633.04,15448.82,90380.87,-0.25,0.0,-0.5,1469.719,2974.625,17402.569
2324,仁寶            ,11.258355140686035,7380.39,31155.31,56688.59,0.0,0.0,7.69,6555.48,27673.056,50352.458
1210,大成            ,15.263764381408691,7109.86,16922.94,40133.71,3.34,0.0,17.02,4658.0,11087.0,26293.454
2892,第一金          ,8.807445526123047,6353.23,19977.79,157854.21,0.9,0.0,4.67,7213.477,22682.847999999998,179228.146
4904,遠傳            ,49.58888626098633,5828.4,13686.31,50664.81,0.54,0.0,-1.58,1175.343,2759.956,10216.969
1101,台泥            ,15.20660400390625,5583.86,8700.12,-2026.62,4.08,0.0,10.76,3672.0,5721.275,-1332.7260000000006
2801,彰銀            ,9.240666389465332,5169.48,6937.12,36987.42,2.15,0.0,2.15,5594.276,7507.162,40026.789
1319,東陽            ,33.04542922973633,5157.06,6469.06,-44.42,3.42,0.0,5.38,1560.598,1957.627,-13.442999999999984
8464,億豐            ,200.67481994628906,4755.27,27848.21,123976.76,0.69,0.0,2.46,236.964,1387.728,6177.993
1301,台塑            ,49.76063537597656,4714.95,-4674.45,70815.39,-0.39,0.0,-0.39,947.526,-939.3870000000003,14231.206
5880,合庫金          ,7.221079349517822,4530.9,5941.69,22981.59,1.42,0.0,3.25,6274.552,8228.26,31825.699
2886,兆豐金          ,14.015080451965332,4499.15,-25703.7,48138.28,1.68,0.0,2.99,3210.224,-18340.031,34347.487
2883,凱基金          ,5.104429244995117,4484.35,-4543.68,25897.39,2.24,0.0,4.48,8785.218,-8901.443,50735.13
2884,玉山金          ,8.08755874633789,4443.16,4944.68,24663.5,1.89,0.0,7.39,5493.825,6113.929,30495.603000000003
2303,聯電            ,7.426765441894531,4100.73,5301.75,-58912.22,1.25,0.0,2.97,5521.56,7138.712000000001,-79324.20300000001
2382,廣達            ,33.47745895385742,3992.51,25375.15,80556.88,0.68,0.0,4.62,1192.595,7579.772999999999,24063.021
1303,南亞            ,37.098995208740234,3920.07,-19281.63,-47902.9,0.84,0.0,-1.81,1056.65,-5197.344999999999,-12912.183
9904,寶成            ,28.40155029296875,3875.79,1950.96,58005.6,1.07,0.0,0.83,1364.639,686.921,20423.393
2887,台新新光金      ,5.851500034332275,3691.94,7173.8,41798.6,1.23,0.0,2.92,6309.395,12259.769,71432.29
0050,元大台灣50      ,11.63381290435791,3551.8,9736.45,220612.1,1.1,0.0,3.31,3053.0,8369.1,189630.09
2317,鴻海            ,60.132511138916016,3217.77,-140596.05,21881.96,0.63,0.0,2.45,535.113,-23381.037000000004,3638.9570000000003
2049,上銀            ,98.04791259765625,2848.34,1642.35,8600.19,0.75,0.0,1.5,290.505,167.505,877.142
8016,矽創            ,50.91328048706055,2830.78,10600.14,28776.19,3.48,0.0,11.35,556.0,2082.0,5652.0
2313,華通            ,11.436819076538086,2788.3,-5887.67,-27235.58,2.13,0.0,7.01,2438.0,-5148.0,-23813.951
0056,元大高股息      ,10.75997543334961,2669.55,12069.46,41345.21,0.45,0.0,4.08,2481.0,11217.0,38425.0
3231,緯創            ,12.052210807800293,2595.05,18248.85,137051.81,0.7,0.0,7.69,2153.177,15141.494999999999,113715.075
4426,利勤            ,71.94029235839844,2474.75,4014.27,-362.57,3.27,0.0,5.97,344.0,558.0,-50.399
6414,樺漢            ,290.729736328125,2442.04,-5087.86,34613.47,2.82,0.0,4.22,83.997,-175.003,1190.5720000000001
3596,智易            ,32.482120513916016,2384.19,9492.35,38649.52,2.19,0.0,7.5,734.0,2922.33,11898.706
1504,東元            ,17.967531204223633,2360.86,-2491.63,5879.21,3.09,0.0,4.92,1313.957,-1386.743,3272.1290000000004
2002,中鋼            ,14.786344528198242,2358.99,-14084.19,-27097.09,0.98,0.0,1.97,1595.383,-9525.130000000001,-18325.750000000004
2891,中信金          ,9.495920181274414,2216.31,-32044.97,41628.79,0.61,0.0,0.0,2333.959,-33746.045,43838.604
2228,劍麟            ,132.9972381591797,2154.56,1244.84,7667.81,4.64,0.0,-1.22,162.0,93.599,576.539
9911,櫻花            ,18.88286018371582,2133.76,5238.11,15458.9,1.66,0.0,15.0,1130.0,2774.0,8186.739
2455,全新            ,48.420166015625,2096.59,-2992.37,-4513.22,0.81,0.0,2.69,433.0,-618.0,-932.0959999999998
2201,裕隆            ,32.258724212646484,2033.39,2182.86,9037.7,0.76,0.0,-3.1,630.339,676.674,2801.629
2376,技嘉            ,22.517284393310547,1982.88,4018.44,6783.25,2.14,0.0,8.39,880.604,1784.604,3012.462
2207,和泰車          ,216.67758178710938,1942.56,-9441.12,-17914.01,2.5,0.0,1.49,89.652,-435.722,-826.759
9924,福興            ,28.70928382873535,1774.23,907.21,-577.06,3.46,0.0,6.56,618.0,316.0,-201.0
4935,茂林-KY         ,42.881656646728516,1749.57,7178.39,10364.5,3.55,0.0,11.29,408.0,1674.0,2417.0
2610,華航            ,8.128355979919434,1737.72,5170.33,15009.45,0.5,0.0,-0.99,2137.852,6360.852,18465.547
1537,廣隆            ,76.72773742675781,1736.35,32.99,-1873.03,3.26,0.0,6.34,226.3,4.300000000000011,-244.11399999999998
1473,台南            ,29.2890625,1692.91,3444.39,18988.1,6.5,0.0,-1.75,578.0,1176.0,6483.0
3023,信邦            ,52.06582260131836,1666.11,5857.54,10497.68,1.99,0.0,4.77,320.0,1125.026,2016.2330000000002
5434,崇越            ,38.67493438720703,1601.14,3774.67,17964.89,0.74,0.0,9.53,414.0,976.0,4645.099
6230,尼得科超眾      ,104.03473663330078,1586.53,3349.91,1357.22,2.01,0.0,6.28,152.5,321.999,130.45799999999997
1722,台肥            ,27.292314529418945,1522.16,1603.63,-1940.94,1.19,0.0,-0.12,557.724,587.5740000000001,-711.1659999999999
1215,卜蜂            ,19.094436645507812,1519.92,3887.25,11327.24,1.89,0.0,22.59,796.0,2035.8,5932.22
6456,GIS-KY          ,59.88855743408203,1515.18,-4607.67,15465.63,1.74,0.0,1.23,253.0,-769.374,2582.402
1590,亞德客-KY       ,193.466796875,1489.69,-5165.56,32230.68,4.0,0.0,3.77,77.0,-267.0,1665.954
1605,華新            ,5.862519264221191,1479.11,-1136.74,2074.5,6.39,0.0,-4.36,2523.0,-1939.0,3538.585
2059,川湖            ,293.97784423828125,1440.49,-1117.12,-12323.55,1.41,0.0,3.46,49.0,-38.0,-419.2
1476,儒鴻            ,208.9246063232422,1394.86,-62144.12,-22723.04,0.5,0.0,-2.11,66.764,-2974.476,-1087.6190000000004
4934,太極            ,29.577482223510742,1357.61,-1750.99,-2996.2,0.29,0.0,0.29,459.0,-592.0,-1013.0
2355,敬鵬            ,49.00138854980469,1326.46,-879.5,31173.59,0.73,0.0,3.58,270.698,-179.485,6361.776
1527,鑽全            ,46.63438034057617,1324.41,5474.87,2966.58,0.57,0.0,2.61,283.999,1173.999,636.135
2618,長榮航          ,9.547682762145996,1310.9,-8376.18,-24898.24,2.11,0.0,2.46,1373.0,-8773.0,-26077.779000000002
2377,微星            ,36.30537796020508,1267.06,31155.31,49401.15,0.18,0.0,7.69,349.0,8581.458,13607.116
2890,永豐金          ,5.08074426651001,1264.92,-3316.09,8565.38,0.64,0.0,1.39,2489.633,-6526.787,16858.509000000002
4551,智伸科          ,56.89132308959961,1251.61,5995.87,11554.15,0.0,0.0,0.0,220.0,1053.916,2030.916
