代號,名稱,當日收盤價,當日買賣超金額(萬元),5日買賣超金額(萬元),1個月買賣超金額(萬元),當日漲幅(%),5日漲幅(%),1個月漲幅(%),當日買超(張),5日買超(張),1個月買超(張)
2330,台積電          ,135.6676788330078,128046.53,573289.19,2222985.82,0.87,1.47,10.19,9438.249,42256.873,163855.226
2317,鴻海            ,66.57798767089844,85424.09,302593.88,841662.92,0.23,1.86,6.42,12830.68,45449.539000000004,126417.597
1326,台化            ,56.68309020996094,30994.31,116863.46,306794.44,0.0,0.6,8.06,5468.0,20616.988,54124.508
2912,統一超          ,180.33935546875,30131.24,-3343.09,86298.64,4.22,-2.26,3.8,1670.808,-185.37800000000016,4785.347
2412,中華電          ,81.10436248779297,29465.21,-339.78,129864.53,0.0,-1.69,7.92,3633.0,-41.89399999999978,16012.027999999998
2454,聯發科          ,152.68222045898438,26010.56,30244.45,129039.82,2.12,0.42,10.17,1703.575,1980.8759999999997,8451.528999999999
2308,台達電          ,130.80450439453125,25053.73,213471.63,620765.75,0.3,-1.47,12.66,1915.357,16319.899,47457.521
4904,遠傳            ,49.80727005004883,22761.92,103339.81,373067.92,-0.53,-1.32,-0.62,4570.0,20747.936999999998,74902.303
2885,元大金          ,6.762338161468506,22016.43,30356.43,116995.06,3.18,1.34,14.51,32557.417,44890.439,173009.775
2301,光寶科          ,26.921293258666992,21469.73,51303.79,163773.91,3.43,1.74,12.81,7975.0,19056.957000000002,60834.338
3673,TPK-KY          ,58.411685943603516,20157.87,40753.83,47709.87,4.92,6.39,9.98,3451.0,6977.0,8167.864
2409,友達            ,9.166264533996582,19897.21,93501.25,538968.64,1.22,1.63,32.57,21706.996,102005.84,587991.584
1216,統一            ,44.30686569213867,19854.08,78035.41,312617.99,0.3,-0.9,6.77,4481.04,17612.487,70557.459
2379,瑞昱            ,71.03103637695312,17371.53,36416.11,175997.19,1.41,-2.26,6.93,2445.625,5126.789,24777.506
3008,大立光          ,2560.344482421875,16580.53,-85901.35,308553.77,2.1,-1.16,17.18,64.759,-335.507,1205.126
2801,彰銀            ,9.434914588928223,12950.37,67129.13,196869.41,0.29,0.0,3.66,13726.01,71149.694,208660.509
3045,台灣大          ,74.18811798095703,12789.01,106312.48,383875.55,0.0,-3.08,2.33,1723.862,14330.122,51743.535
1301,台塑            ,54.26024627685547,12778.29,90602.35,120927.42,-0.12,0.13,10.05,2355.0,16697.739999999998,22286.559
