代號,名稱,當日收盤價,當日買賣超金額(萬元),5日買賣超金額(萬元),1個月買賣超金額(萬元),當日漲幅(%),5日漲幅(%),1個月漲幅(%),當日買超(張),5日買超(張),1個月買超(張)
2454,聯發科          ,476.97198486328125,106687.71,170546.91,541701.28,3.7,1.73,1.38,2236.771,3575.617,11357.088
8046,南電            ,187.00999450683594,78585.17,721.73,13934.02,6.41,6.41,1.22,4202.191,38.59300000000019,745.0950000000005
3035,智原            ,125.82523345947266,71307.78,19706.85,155815.74,9.8,2.28,-7.56,5667.208,1566.2079999999996,12383.505
2303,聯電            ,32.69099807739258,40270.57,287273.67,354525.24,0.9,4.37,2.87,12318.55,87875.467,108447.35900000001
2609,陽明            ,38.40962219238281,38343.97,98066.56,255994.71,1.8,3.5,-7.86,9982.908,25531.767999999996,66648.58899999999
6770,力積電          ,30.730043411254883,32053.13,36670.07,90487.42,2.65,5.08,0.0,10430.551,11932.969000000001,29445.915
2308,台達電          ,250.38717651367188,31487.97,108826.91,114057.54,0.56,0.0,0.75,1257.571,4346.344999999999,4555.247
2610,華航            ,15.62096118927002,30751.42,23221.13,4158.08,2.72,-0.87,-20.56,19686.0,14865.366,2661.858
6533,晶心科          ,332.47491455078125,23894.77,27029.58,43676.33,4.38,-6.32,-17.96,718.694,812.981,1313.6730000000002
2882,國泰金          ,32.6994514465332,21587.81,-83232.61,-433817.12,1.23,-1.73,-12.11,6601.887,-25453.826,-132668.013
3665,貿聯-KY         ,249.0009765625,19923.44,44166.8,55496.07,3.41,5.2,-9.0,800.135,1773.76,2228.749
1303,南亞            ,63.33418273925781,19614.98,70305.61,59696.62,1.33,6.2,2.09,3097.061,11100.737000000001,9425.655
3037,欣興            ,112.9784164428711,19492.62,-56872.1,109569.59,4.72,2.09,-0.81,1725.34,-5033.891,9698.276
2383,台光電          ,132.08914184570312,19445.58,35362.03,54319.08,3.33,0.36,-16.22,1472.156,2677.134,4112.305
2637,慧洋-KY         ,41.988033294677734,18001.52,23740.71,55124.58,4.53,3.55,-4.32,4287.297,5654.161999999999,13128.64
1216,統一            ,57.99434280395508,17672.37,8979.16,98956.45,1.56,-1.21,-0.61,3047.257,1548.2820000000002,17063.122
1795,美時            ,139.4406280517578,16690.9,11244.2,47204.43,0.68,-0.67,-11.14,1196.99,806.3789999999999,3385.2709999999997
2412,中華電          ,95.72595977783203,15805.03,21197.14,-11315.39,-0.46,-1.38,-6.52,1651.07,2214.357,-1182.0610000000001
2049,上銀            ,155.3898162841797,15659.74,8342.1,-19617.96,3.16,0.62,-13.53,1007.771,536.8499999999999,-1262.5000000000002
2377,微星            ,100.61259460449219,15495.14,15113.27,26884.52,4.19,4.67,-2.61,1540.08,1502.125,2672.083
3533,嘉澤            ,665.4642944335938,14573.67,11479.33,49684.3,3.57,1.26,-5.23,219.0,172.50099999999998,746.611
3711,日月光投控      ,67.35172271728516,14444.5,67618.29,158447.34,1.83,1.97,-7.5,2144.637,10039.578000000001,23525.358
2388,威盛            ,62.198089599609375,12951.91,-12775.8,-16969.31,1.46,-5.15,-29.35,2082.364,-2054.0510000000004,-2728.2689999999993
2618,長榮航          ,20.51997947692871,12656.26,20513.04,-103759.82,1.08,-3.51,-28.55,6167.774,9996.618,-50565.26299999999
4958,臻鼎-KY         ,93.09166717529297,12348.79,10437.08,54876.36,4.41,-1.84,-6.17,1326.519,1121.162,5894.874
6781,AES-KY          ,525.1456909179688,12331.0,20528.94,-29902.53,1.46,-9.31,-21.61,234.811,390.919,-569.414
3443,創意            ,384.0855407714844,12171.79,-123025.25,-183273.14,0.13,-10.64,-31.56,316.903,-3203.069,-4771.675
6285,啟碁            ,72.66767120361328,11554.99,-22351.59,9723.91,1.83,-2.0,0.12,1590.114,-3075.8639999999996,1338.1340000000005
2606,裕民            ,29.782426834106445,11311.37,9869.52,-6263.6,5.04,3.25,-11.19,3798.0,3313.873,-2103.1189999999997
2615,萬海            ,59.347415924072266,11305.46,55501.2,165135.35,3.01,5.55,-8.54,1904.963,9351.914999999999,27825.197
4919,新唐            ,90.13987731933594,10046.31,-34278.1,17211.15,3.05,-4.95,-16.32,1114.525,-3802.7679999999996,1909.3820000000003
2395,研華            ,246.7466278076172,9973.7,19307.01,17397.19,-1.68,-0.68,-4.4,404.208,782.463,705.063
6505,台塑化          ,73.81427764892578,9950.16,6882.91,-1363.22,2.03,2.03,1.51,1348.0,932.4630000000001,-184.683
2313,華通            ,38.44493103027344,9191.18,-7054.63,-28027.19,1.27,-2.23,-7.4,2390.739,-1834.9969999999998,-7290.215999999999
2892,第一金          ,20.545196533203125,9039.89,24301.9,130340.62,1.45,2.08,-8.07,4400.0,11828.508,63440.923
3532,台勝科          ,126.1253433227539,8788.88,-7539.14,45438.65,4.1,0.36,-9.71,696.837,-597.75,3602.658
