代號,名稱,當日收盤價,當日買賣超金額(萬元),5日買賣超金額(萬元),1個月買賣超金額(萬元),當日漲幅(%),5日漲幅(%),1個月漲幅(%),當日買超(張),5日買超(張),1個月買超(張)
2891,中信金          ,11.588728904724121,55186.36,89511.49,4016.97,4.9,7.54,10.64,47620.72,77240.131,3466.272000000011
2330,台積電          ,138.02024841308594,39618.24,110095.43,932093.4,-0.56,-0.28,2.33,2870.466,7976.759000000001,67533.091
2474,可成            ,132.04627990722656,32649.23,21864.26,-350791.19,3.21,7.4,-6.25,2472.56,1655.8029999999999,-26565.776
9904,寶成            ,34.1676139831543,32110.72,50521.6,72126.32,8.55,9.27,13.27,9398.0,14786.401,21109.557
2881,富邦金          ,22.020671844482422,18281.56,39573.89,143346.85,0.36,0.72,4.49,8302.0,17971.245,65096.494
2308,台達電          ,134.69749450683594,17507.48,109083.7,424324.73,-1.14,0.0,1.47,1299.763,8098.421,31502.051
1527,鑽全            ,72.45454406738281,14954.02,20284.86,32075.85,9.45,12.02,19.05,2063.918,2799.667,4427.031
1707,葡萄王          ,146.06256103515625,14460.19,19557.43,49035.58,1.16,1.64,1.64,990.0,1338.976,3357.163
2454,聯發科          ,158.3840789794922,13734.23,76705.08,361090.42,-0.2,0.6,6.16,867.147,4842.979,22798.404
8464,億豐            ,243.14718627929688,13443.61,7748.25,88587.64,4.89,-0.29,6.36,552.9,318.66499999999996,3643.375
2464,盟立            ,30.4902400970459,12318.72,19137.48,-30442.7,6.29,23.74,4.95,4040.218,6276.593,-9984.407
4938,和碩            ,45.030189514160156,10845.77,191306.39,278747.34,-0.25,11.3,9.37,2408.556,42484.028999999995,61902.325
2002,中鋼            ,16.72378158569336,10098.49,31467.73,203681.17,0.88,0.44,2.46,6038.4,18816.159,121791.336
2354,鴻準            ,58.645118713378906,10037.76,84280.69,140108.59,0.96,6.57,7.25,1711.61,14371.306,23890.921
3481,群創            ,9.18758773803711,9425.55,18077.56,55659.45,0.88,-0.87,-2.55,10259.0,19676.065,60581.130999999994
2439,美律            ,71.94538879394531,8525.53,15297.42,88422.17,1.28,-0.42,52.19,1185.0,2126.254,12290.179
2377,微星            ,45.45703887939453,8512.71,19317.73,-84164.76,2.67,7.05,2.66,1872.694,4249.668,-18515.232
2887,台新新光金      ,6.325305461883545,8446.81,17992.54,44617.62,0.75,0.0,3.09,13354.0,28445.323,70538.284
3036,文曄            ,25.812484741210938,8138.68,20145.72,33572.5,2.44,7.06,11.47,3153.0,7804.642,13006.304
1305,華夏            ,9.769172668457031,7309.61,11351.61,10578.74,1.31,8.29,13.51,7482.32,11619.828,10828.696
6239,力成            ,51.16904830932617,6283.56,45330.93,156776.66,2.37,-0.49,11.43,1228.0,8859.052,30638.964
2337,旺宏            ,6.730800628662109,6211.63,12274.06,7364.91,4.46,9.07,8.54,9228.664,18235.664,10942.107
2105,正新            ,46.35946273803711,6128.72,1266.86,155973.52,1.04,-2.01,2.4,1322.0,273.26800000000003,33644.377
2379,瑞昱            ,84.51377868652344,5907.63,21173.92,211201.3,0.78,4.05,18.43,699.014,2505.381,24990.162
4426,利勤            ,88.40550231933594,5843.6,13240.34,21738.2,4.18,2.35,9.75,661.0,1497.683,2458.919
2912,統一超          ,183.6988067626953,5432.05,22013.56,134801.69,-0.58,0.19,6.59,295.704,1198.351,7338.191
4904,遠傳            ,50.00783157348633,5398.12,1425.34,124211.35,-0.53,-0.53,-0.93,1079.454,285.02300000000014,24838.379999999997
2376,技嘉            ,27.71249771118164,5331.88,12779.07,49491.72,2.93,4.4,10.3,1924.0,4611.303,17858.989999999998
2886,兆豐金          ,14.996317863464355,5161.89,19175.48,69389.58,0.41,-0.61,2.95,3442.105,12786.794,46271.08
1101,台泥            ,17.395925521850586,5133.54,20436.7,64946.59,2.63,0.29,2.8,2951.0,11747.981,37334.366
2301,光寶科          ,26.786014556884766,4706.3,10537.1,93871.36,0.0,-1.59,1.85,1757.0,3933.8059999999996,35044.915
2618,長榮航          ,10.36793041229248,4503.83,14267.54,13530.32,0.32,0.32,1.61,4344.0,13761.223,13050.162
2449,京元電子        ,19.196369171142578,4259.67,-756.23,54611.36,3.81,-0.17,9.73,2219.0,-393.94399999999996,28448.793999999998
4551,智伸科          ,56.89132308959961,4170.13,5690.79,6197.12,0.0,0.0,0.0,733.0,1000.2909999999999,1089.291
3576,聯合再生        ,28.732858657836914,4062.83,12090.11,5834.66,5.06,5.06,-3.21,1414.0,4207.763,2030.656
1301,台塑            ,54.26023864746094,3904.15,8722.81,35011.74,0.5,-0.12,0.13,719.524,1607.5879999999997,6452.5599999999995
2915,潤泰全          ,41.46052551269531,3772.91,6027.9,-3204.4,2.57,-2.08,5.23,910.0,1453.8899999999999,-772.8800000000001
2059,川湖            ,312.0181884765625,3557.01,7699.11,13080.96,1.2,1.74,-3.18,114.0,246.752,419.23699999999997
0061,元大寶滬深      ,16.5,3493.05,2019.6,7722.0,-0.3,4.9,2.74,2117.0,1224.0,4680.0
1326,台化            ,56.95364761352539,3329.99,11664.96,180737.24,-0.12,-0.94,0.6,584.685,2048.15,31734.094
2489,瑞軒            ,18.771146774291992,3305.6,13249.32,20580.13,0.44,2.25,7.58,1761.0,7058.342000000001,10963.706
2892,第一金          ,9.504362106323242,3226.07,-8639.24,65506.2,-0.3,-0.9,3.6,3394.301,-9089.762999999999,68922.25
0050,元大台灣50      ,12.853132247924805,3102.62,16626.68,98506.28,-0.21,-0.07,1.74,2413.9,12935.9,76639.9
2492,華新科          ,27.23589515686035,3074.93,1475.99,13316.69,4.14,2.35,12.76,1129.0,541.929,4889.39
3702,大聯大          ,25.08096694946289,3045.56,18765.12,92474.66,1.31,0.91,0.7,1214.292,7481.817,36870.451
5871,中租-KY         ,31.215866088867188,3021.7,17053.73,23337.16,0.92,3.0,5.52,968.0,5463.16,7476.058
2542,興富發          ,19.057268142700195,2897.16,6798.3,45261.11,1.52,-2.72,4.28,1520.238,3567.302,23750.054
0056,元大高股息      ,11.992181777954102,2872.13,14706.01,59066.29,0.57,0.98,1.9,2395.0,12263.0,49254.0
1704,榮化            ,35.51696014404297,2855.56,12089.88,-572.08,1.51,7.31,3.88,804.0,3403.973,-161.0709999999999
2351,順德            ,33.62681579589844,2794.39,8740.79,22834.4,2.66,10.86,17.99,831.0,2599.35,6790.532999999999
2352,佳世達          ,9.114142417907715,2752.47,6599.02,14564.82,2.9,4.64,6.44,3020.0,7240.414000000001,15980.461
9911,櫻花            ,25.48501968383789,2735.1,8534.38,31321.74,0.68,2.76,9.56,1073.217,3348.783,12290.257
2536,宏普            ,18.63332748413086,2664.57,2492.19,2859.33,3.26,2.72,9.35,1430.0,1337.493,1534.522
3023,信邦            ,52.13362121582031,2546.2,1650.93,-13405.16,1.99,2.53,-3.03,488.398,316.672,-2571.308
5434,崇越            ,46.68046188354492,2502.07,3567.78,17655.21,2.69,2.94,11.49,536.0,764.299,3782.142
6269,台郡            ,53.898460388183594,2446.99,3903.63,27455.7,0.57,1.03,2.32,454.0,724.2560000000001,5093.968000000001
2393,億光            ,29.480649948120117,2437.96,-2238.79,-13083.31,2.68,3.21,-5.42,826.97,-759.411,-4437.932
6271,同欣電          ,100.26133728027344,2376.19,19240.1,33265.12,1.61,10.48,14.43,237.0,1918.995,3317.841
6451,訊芯-KY         ,129.06820678710938,2336.13,18754.11,32570.87,4.62,16.97,62.9,181.0,1453.039,2523.5389999999998
2834,臺企銀          ,4.626984596252441,2297.77,9287.68,19587.77,0.47,1.42,0.7,4966.02,20072.851000000002,42333.769
9939,宏全            ,32.011138916015625,2215.17,4442.69,3371.01,1.47,2.44,1.77,692.0,1387.856,1053.074
9933,中鼎            ,26.6292781829834,2115.04,4110.56,-7976.64,1.55,0.22,-2.81,794.252,1543.624,-2995.4390000000003
2239,英利-KY         ,174.4359588623047,2058.34,12120.23,16374.74,1.36,12.63,35.56,118.0,694.8240000000001,938.725
1909,榮成            ,11.880940437316895,2057.78,2094.97,-4837.88,1.58,4.89,1.58,1732.0,1763.307,-4071.965
2103,台橡            ,20.055858612060547,2027.65,4248.2,16269.22,1.03,-0.17,3.53,1011.0,2118.1859999999997,8111.951999999999
2325,矽品            ,46.46474838256836,2025.86,7287.6,1781.27,0.1,0.0,-0.72,436.0,1568.415,383.3600000000001
4919,新唐            ,26.48702621459961,2005.07,5294.27,16026.81,0.66,2.16,16.22,757.0,1998.817,6050.817
1717,長興            ,22.794445037841797,1969.98,4270.56,4739.08,2.79,4.8,4.8,864.239,1873.509,2079.05
3514,昱晶            ,20.626375198364258,1910.0,-90.2,1318.17,1.2,-3.0,-13.55,926.0,-43.730999999999995,639.068
2603,長榮            ,9.474031448364258,1890.07,7946.36,12881.03,0.42,0.42,-5.12,1995.0,8387.512999999999,13596.14
2404,漢唐            ,33.23193359375,1661.6,2201.22,3917.3,1.72,5.89,4.79,500.0,662.381,1178.777
1558,伸興            ,90.19486236572266,1641.55,2942.37,4146.32,1.6,2.92,13.62,182.0,326.224,459.707
4552,力達-KY         ,76.56433868408203,1607.85,4305.56,-20484.8,5.34,7.81,15.97,210.0,562.345,-2675.502
3706,神達            ,11.574033737182617,1535.87,7425.76,65391.75,0.33,-0.33,19.68,1327.0,6415.88,56498.666
