代號,名稱,當日收盤價,當日買賣超金額(萬元),5日買賣超金額(萬元),1個月買賣超金額(萬元),當日漲幅(%),5日漲幅(%),1個月漲幅(%),當日買超(張),5日買超(張),1個月買超(張)
2609,陽明            ,40.38886260986328,95824.63,71143.11,22028.38,3.98,3.98,3.65,23725.508,17614.536,5454.074000000001
2603,長榮            ,68.80438995361328,75280.78,83084.29,232430.63,4.46,6.15,8.97,10941.275,12075.434000000001,33781.366
3034,聯詠            ,257.96490478515625,57149.03,102711.13,1771.45,1.94,5.18,4.31,2215.38,3981.593,68.67000000000014
3231,緯創            ,27.622472763061523,53863.03,129492.8,166723.83,2.39,5.63,8.5,19499.712,46879.512,60358.038
2615,萬海            ,68.27119445800781,46309.66,66003.96,23427.38,8.69,12.41,9.75,6783.192,9667.907,3431.517
2371,大同            ,33.85706329345703,26443.66,98327.97,169600.58,0.71,4.28,9.46,7810.382,29042.086,50093.115
1605,華新            ,43.27528762817383,21217.88,80714.25,-9984.29,0.31,2.66,10.3,4903.001,18651.35,-2307.1579999999994
6176,瑞儀            ,84.07821655273438,21070.23,17435.25,63964.72,2.39,0.94,2.88,2506.027,2073.694,7607.764
2915,潤泰全          ,61.38774871826172,19512.15,22162.35,80922.69,-0.58,-0.29,7.34,3178.508,3610.223,13182.222
2347,聯強            ,52.79853057861328,19415.68,18773.01,80725.94,2.33,2.68,10.63,3677.315,3555.594,15289.43
3661,世芯-KY         ,854.75830078125,14959.04,-11085.62,45021.32,-1.02,-4.26,0.11,175.009,-129.69299999999993,526.7140000000002
2324,仁寶            ,19.580785751342773,13618.17,19816.23,-87.54,4.34,4.1,5.54,6954.866,10120.241,-44.70799999999872
2337,旺宏            ,32.45052719116211,13611.9,41683.64,55659.82,-1.13,2.65,0.0,4194.661,12845.289,17152.209000000003
6533,晶心科          ,528.3709106445312,12792.02,4362.28,-62246.0,-1.49,-1.12,-5.69,242.103,82.56100000000015,-1178.0739999999998
3443,創意            ,757.582275390625,12424.65,-1494.26,72248.05,0.38,-0.88,7.51,164.004,-19.723999999999933,953.666
