代號,名稱,當日收盤價,當日買賣超金額(萬元),5日買賣超金額(萬元),1個月買賣超金額(萬元),當日漲幅(%),5日漲幅(%),1個月漲幅(%),當日買超(張),5日買超(張),1個月買超(張)
2330,台積電          ,456.12066650390625,218558.56,3466388.71,2777684.14,1.46,16.79,23.14,4791.683,75997.186,60898.011000000006
1605,華新            ,43.09571838378906,120618.27,578135.4,655385.08,-0.72,17.94,35.21,27988.459,134151.47,152076.612
2454,聯發科          ,591.347900390625,118309.2,841556.72,1358358.89,0.97,12.15,26.34,2000.67,14231.161,22970.554
3661,世芯-KY         ,839.1463012695312,56585.4,203884.86,178909.85,2.02,8.86,24.28,674.321,2429.67,2132.0460000000003
3711,日月光投控      ,81.13412475585938,55167.54,298344.39,567676.78,0.86,7.83,24.97,6799.548,36771.752,69967.696
4958,臻鼎-KY         ,104.89202117919922,39951.62,90617.82,156466.42,0.84,5.26,12.15,3808.833,8639.153,14916.904
3037,欣興            ,149.5574951171875,36697.42,309792.62,324684.04,0.31,11.38,31.84,2453.733,20713.948,21709.647
3443,創意            ,668.0585327148438,33568.54,137830.5,413796.99,7.1,17.43,64.65,502.479,2063.15,6194.023
2376,技嘉            ,95.84532165527344,32199.36,41327.82,182710.24,5.05,1.46,13.54,3359.513,4311.929,19063.032
3008,大立光          ,1889.8446044921875,30698.26,248090.48,409548.98,0.24,8.95,19.66,162.438,1312.756,2167.104
2388,威盛            ,71.04095458984375,29436.82,62407.72,3307.56,1.71,2.58,11.72,4143.641,8784.752999999999,465.5849999999991
8046,南電            ,245.5914306640625,28813.7,11804.72,18093.53,0.74,16.2,32.93,1173.237,480.66499999999996,736.7329999999993
3034,聯詠            ,251.8131103515625,25757.51,139868.06,219834.46,1.99,7.72,25.82,1022.882,5554.439,8730.064
8478,東哥遊艇        ,263.2864990234375,25505.41,19269.73,19329.86,9.9,14.34,8.85,968.732,731.8919999999999,734.176
6531,愛普*           ,179.6023712158203,22704.43,26259.0,-7579.09,6.65,8.76,29.63,1264.15,1462.063,-421.993
6550,北極星藥業-KY   ,100.5,22018.04,14894.1,-20465.6,2.76,2.24,3.93,2190.85,1482.0,-2036.3780000000002
6669,緯穎            ,762.6744995117188,21487.9,22252.1,254886.2,2.02,-1.94,27.68,281.744,291.764,3342.005
4919,新唐            ,113.25029754638672,19505.71,63378.86,95342.13,6.03,12.33,23.25,1722.354,5596.353,8418.709
2379,瑞昱            ,279.4417724609375,18704.83,51361.17,88470.9,2.22,13.38,28.03,669.364,1837.992,3165.987
0050,元大台灣50      ,25.90947151184082,18423.92,82330.27,-96354.74,-0.17,9.57,14.79,7110.882,31776.128,-37189.003
6269,台郡            ,97.25993347167969,18029.97,88326.97,216866.55,1.41,6.93,19.47,1853.792,9081.537,22297.625
2377,微星            ,114.08749389648438,17462.33,31468.59,112126.19,3.25,5.39,15.45,1530.609,2758.286,9828.088
4961,天鈺            ,166.9816131591797,17306.04,32002.26,8652.89,1.18,2.79,15.18,1036.404,1916.514,518.1939999999997
2344,華邦電          ,21.210208892822266,16537.38,3845.3,20274.01,0.9,6.19,10.12,7796.897,1812.9490000000003,9558.609
2337,旺宏            ,31.752164840698242,16388.75,40165.48,70185.6,1.34,4.76,6.56,5161.459,12649.682999999999,22104.193
1477,聚陽            ,178.57041931152344,15817.54,73586.24,137998.11,-1.75,5.88,11.66,885.787,4120.853,7727.938
2327,國巨*           ,87.63697814941406,15181.06,40201.12,63730.15,1.32,8.73,37.75,1732.267,4587.232,7272.061
1590,亞德客-KY       ,847.1683349609375,14928.63,83611.62,146428.64,-1.21,7.02,23.12,176.218,986.954,1728.448
6153,嘉聯益          ,28.516929626464844,14653.42,6719.37,68071.01,0.0,1.04,18.98,5138.498,2356.2749999999996,23870.387
6415,矽力*-KY        ,482.84356689453125,14421.23,16539.71,33873.41,6.42,16.12,18.62,298.673,342.548,701.54
2542,興富發          ,31.64287567138672,14182.55,56290.43,134333.46,0.7,2.25,7.46,4482.066,17789.29,42452.988
1760,寶齡富錦        ,134.7498779296875,13948.34,-7169.64,-37506.77,5.4,4.27,2.81,1035.128,-532.0699999999999,-2783.4359999999997
3592,瑞鼎            ,260.11199951171875,13745.62,2315.07,14773.11,10.0,17.57,42.32,528.45,89.00300000000004,567.952
2352,佳世達          ,29.41494369506836,13590.69,30488.66,-8286.38,2.69,7.12,7.12,4620.335,10365.024,-2817.0659999999993
2408,南亞科          ,58.29159927368164,11739.48,52930.44,169865.19,0.67,3.44,11.71,2013.923,9080.286,29140.595999999998
2498,宏達電          ,53.912715911865234,11634.05,55798.44,99074.63,0.37,2.06,5.42,2157.941,10349.774,18376.857
3533,嘉澤            ,738.8948364257812,11286.99,3743.46,69281.37,3.21,-0.74,9.97,152.755,50.663,937.635
2474,可成            ,152.82769775390625,11219.05,135635.01,235756.76,-0.8,5.38,9.09,734.098,8875.028,15426.311000000002
3189,景碩            ,112.32311248779297,11094.77,14865.63,-6865.33,0.0,7.05,19.12,987.755,1323.4699999999998,-611.2130000000005
2723,美食-KY         ,103.60975646972656,10817.43,24016.88,24207.79,3.65,8.61,10.19,1044.055,2318.013,2336.439
3714,富采            ,44.40056228637695,10303.93,23629.04,25448.24,0.65,5.08,7.64,2320.676,5321.788,5731.513
2606,裕民            ,35.20854187011719,9943.56,48337.43,79041.31,2.01,12.81,22.24,2824.19,13728.892,22449.471
2345,智邦            ,247.77914428710938,9583.13,6149.68,-49952.82,1.75,2.76,8.07,386.761,248.192,-2016.022
0056,元大高股息      ,18.633291244506836,9487.26,55125.55,-384397.32,-0.08,3.74,6.6,5091.563,29584.442,-206295.987
2368,金像電          ,89.19015502929688,9132.95,42533.21,104002.72,1.26,5.22,16.63,1023.986,4768.823,11660.785
3035,智原            ,156.22909545898438,9091.36,116906.47,219290.47,0.0,10.96,33.6,581.925,7483.015,14036.468
4915,致伸            ,47.81203842163086,9053.41,-234.7,-94144.97,-0.18,2.96,-5.59,1893.541,-49.08800000000019,-19690.641000000003
2886,兆豐金          ,26.598814010620117,8849.56,77819.08,98862.44,-0.96,1.15,6.38,3327.051,29256.597,37167.989
9910,豐泰            ,141.63722229003906,8740.48,51368.9,47928.82,0.54,7.23,15.22,617.103,3626.794,3383.914
2338,光罩            ,67.02276611328125,8650.47,-19735.13,-9698.5,1.29,8.59,27.8,1290.677,-2944.5420000000004,-1447.0460000000003
2891,中信金          ,18.976804733276367,8459.47,57416.14,8484.08,-0.91,2.83,9.55,4457.794,30255.96,4470.763999999997
6239,力成            ,69.98509979248047,8426.34,33191.82,107800.94,1.86,5.25,15.77,1204.019,4742.698,15403.413
2351,順德            ,94.07815551757812,7742.63,27052.15,15400.53,1.49,5.78,0.49,823.0,2875.498,1636.9930000000002
3576,聯合再生        ,21.63306427001953,7694.23,15394.52,19685.23,-0.91,3.08,0.93,3556.7,7116.201,9099.605
2834,臺企銀          ,10.032735824584961,7584.49,20596.96,78344.53,0.0,0.8,5.91,7559.743,20529.754,78088.904
3653,健策            ,370.8680419921875,7514.71,9173.27,106102.08,1.32,0.79,5.91,202.625,247.34600000000003,2860.9120000000003
3231,緯創            ,25.504749298095703,7441.54,26569.65,39634.92,0.54,1.28,5.73,2917.706,10417.531,15540.211
2890,永豐金          ,14.05553150177002,6932.09,73627.6,199456.05,-0.59,2.11,2.42,4931.93,52383.359000000004,141905.731
2885,元大金          ,17.793128967285156,6850.14,86152.48,172834.43,-0.93,3.66,11.84,3849.878,48418.959,97135.49100000001
2727,王品            ,122.38976287841797,6805.75,28599.23,76383.38,0.32,5.44,26.53,556.072,2336.734,6240.994
9921,巨大            ,226.30860900878906,6785.16,34207.95,72550.49,0.82,10.34,17.54,299.819,1511.5620000000001,3205.821
2353,宏碁            ,20.876501083374023,6441.57,31422.73,92687.45,0.0,1.45,11.09,3085.558,15051.722,44397.982
3504,揚明光          ,90.80000305175781,6341.18,7354.85,-10330.18,-0.33,4.01,19.79,698.368,810.0050000000001,-1137.685
2615,萬海            ,65.23883819580078,6297.62,13792.03,84475.56,0.94,4.58,10.9,965.318,2114.0820000000003,12948.661000000002
3406,玉晶光          ,328.85693359375,6036.46,23917.14,24581.4,0.13,13.28,19.29,183.559,727.2810000000001,747.48
1326,台化            ,68.10595703125,5916.96,71576.16,114591.17,-1.48,3.97,7.64,868.788,10509.53,16825.426
1802,台玻            ,23.450000762939453,5654.02,44682.27,130359.7,-1.26,5.16,21.5,2411.098,19054.273999999998,55590.489
3706,神達            ,24.440887451171875,5570.84,13545.16,15854.19,1.04,3.0,8.97,2279.313,5542.01,6486.749
5258,虹堡            ,58.26808547973633,5241.95,10148.24,18277.57,-0.88,4.32,15.86,899.627,1741.646,3136.807
8150,南茂            ,29.01325225830078,5169.47,12561.64,7901.03,1.36,4.02,4.02,1781.761,4329.623,2723.2470000000003
6278,台表科          ,79.69113159179688,5121.81,14938.96,30570.47,1.08,4.12,16.56,642.708,1874.608,3836.12
2455,全新            ,63.815677642822266,5103.01,12879.33,23905.0,0.0,5.58,17.01,799.649,2018.208,3745.9449999999997
8996,高力            ,144.7921600341797,4889.67,2204.81,54567.84,2.73,8.66,27.0,337.703,152.2739999999999,3768.7009999999996
2404,漢唐            ,146.65162658691406,4787.41,13205.86,18188.91,0.87,11.94,19.66,326.448,900.492,1240.28
1402,遠東新          ,27.652193069458008,4734.43,17503.31,81934.9,-0.47,-3.52,1.61,1712.135,6329.808000000001,29630.525
3016,嘉晶            ,73.85444641113281,4096.43,6539.8,15683.97,-0.64,4.0,13.04,554.663,885.499,2123.632
1907,永豐餘          ,25.620222091674805,4002.1,23145.65,32554.69,-0.36,5.46,14.05,1562.087,9034.134,12706.639
2301,光寶科          ,58.06989288330078,3963.54,7302.47,5005.25,1.35,1.5,4.0,682.547,1257.5310000000002,861.9360000000001
2881,富邦金          ,44.37071228027344,3904.76,152115.61,190370.21,-1.6,3.35,10.12,880.032,34282.887,42904.474
2313,華通            ,42.26309585571289,3857.5,34544.57,14343.15,0.31,4.56,9.06,912.735,8173.694999999999,3393.776999999999
3545,敦泰            ,66.02217864990234,3841.22,14875.11,-597.81,2.37,-10.16,-7.88,581.808,2253.047,-90.54699999999968
2354,鴻準            ,46.605690002441406,3465.12,10845.32,19796.35,1.01,3.94,8.91,743.497,2327.038,4247.626
2436,偉詮電          ,43.0907096862793,3332.6,10927.11,-274.41,1.87,5.95,15.17,773.392,2535.838,-63.68100000000008
6257,矽格            ,42.597049713134766,3301.27,11888.39,21540.37,-0.2,2.14,8.68,775.0,2790.895,5056.776
6176,瑞儀            ,81.32799530029297,3039.33,17261.05,34570.34,0.0,1.97,5.08,373.713,2122.399,4250.731
8261,富鼎            ,91.09690856933594,2961.8,6437.23,6568.97,0.99,1.49,3.85,325.126,706.635,721.097
3022,威強電          ,56.423702239990234,2815.5,2651.79,-5892.69,6.25,11.0,18.53,498.992,469.978,-1044.3649999999998
2207,和泰車          ,536.0431518554688,2794.5,47703.71,78262.25,-1.61,3.04,5.89,52.132,889.923,1459.999
2308,台達電          ,269.0379943847656,2758.12,315782.03,475910.54,-1.54,5.29,7.65,102.518,11737.451000000001,17689.343
3059,華晶科          ,32.21038055419922,2752.58,1940.8,9503.81,-0.43,-1.29,2.38,854.563,602.54,2950.5429999999997
4746,台耀            ,50.81062316894531,2718.48,5201.99,7459.25,0.55,10.44,13.64,535.022,1023.8000000000001,1468.05
2457,飛宏            ,37.03264236450195,2540.51,-6605.77,9457.63,0.0,-0.13,4.85,686.019,-1783.7689999999998,2553.8630000000003
2731,雄獅            ,76.84745025634766,2420.69,9544.45,24998.51,0.54,4.02,13.66,315.0,1242.0,3253.005
3702,大聯大          ,40.34115219116211,2379.44,7591.26,16212.86,0.11,1.62,2.95,589.829,1881.7669999999998,4018.938
2383,台光電          ,164.75634765625,2335.95,25040.94,171953.58,0.29,2.96,22.54,141.782,1519.877,10436.841
2867,三商壽          ,5.46482515335083,2294.31,3610.73,-4474.8,-2.48,-0.18,-2.43,4198.321,6607.223,-8188.371
3042,晶技            ,68.57427978515625,2265.06,9867.37,34659.46,0.97,3.5,9.51,330.308,1438.931,5054.294
2395,研華            ,272.01080322265625,2234.54,23154.59,26936.31,-0.15,4.87,8.57,82.149,851.2379999999999,990.266
6670,復盛應用        ,159.56407165527344,2186.03,15337.06,22837.43,0.0,5.03,11.47,137.0,961.185,1431.239
8464,億豐            ,248.797607421875,2175.88,17741.41,21723.02,0.7,15.73,13.44,87.456,713.086,873.1199999999999
2603,長榮            ,64.81877136230469,2101.46,18750.85,88816.4,-0.32,4.04,7.29,324.206,2892.812,13702.265000000001
1909,榮成            ,16.353605270385742,1864.8,9958.63,16907.7,0.3,6.73,9.54,1140.3,6089.5599999999995,10338.822
5269,祥碩            ,703.508056640625,1848.54,-43668.15,-37957.92,0.82,11.82,19.81,26.276,-620.72,-539.552
2356,英業達          ,22.975927352905273,1768.51,68970.34,107797.21,-1.55,5.85,11.92,769.724,30018.524999999998,46917.456
9914,美利達          ,166.7450714111328,1686.76,-23122.87,858.24,0.83,-2.14,1.67,101.158,-1386.7199999999998,51.47000000000007
3588,通嘉            ,59.70985412597656,1678.17,1860.46,-9509.42,0.76,1.23,39.68,281.054,311.58299999999997,-1592.605
3090,日電貿          ,42.13069152832031,1659.95,4135.33,6306.4,-0.39,1.78,7.61,394.0,981.549,1496.865
4927,泰鼎-KY         ,53.55134582519531,1624.62,3286.82,554.52,0.73,-1.25,6.98,303.377,613.769,103.54999999999995
6191,精成科          ,26.1055965423584,1553.28,1498.47,10407.34,-0.17,1.53,17.79,595.0,574.0029999999999,3986.631
5469,瀚宇博          ,32.573944091796875,1549.62,5022.01,15626.9,0.73,1.93,19.48,475.725,1541.726,4797.363
