代號,名稱,當日收盤價,當日買賣超金額(萬元),5日買賣超金額(萬元),1個月買賣超金額(萬元),當日漲幅(%),5日漲幅(%),1個月漲幅(%),當日買超(張),5日買超(張),1個月買超(張)
2330,台積電          ,119.60618591308594,60887.97,1020008.47,2648701.39,-0.94,2.59,6.02,5090.704,85280.578,221451.873
2317,鴻海            ,63.9239616394043,41025.98,370663.41,842581.6,-0.24,2.43,9.48,6417.935,57985.05,131809.978
1476,儒鴻            ,320.1432189941406,26031.55,87013.23,431.2,2.78,10.26,7.69,813.122,2717.947,13.468999999999909
3008,大立光          ,1952.1685791015625,22594.2,82256.58,132485.87,1.36,5.26,1.56,115.739,421.36,678.66
2345,智邦            ,28.714012145996094,21728.64,25569.1,13137.66,8.58,11.62,15.88,7567.259,8904.744999999999,4575.347999999999
2002,中鋼            ,16.17926025390625,21283.13,113180.35,369853.11,0.67,3.42,12.13,13154.574,69953.968,228597.043
2412,中華電          ,72.8115234375,19058.83,104165.96,438951.41,0.93,1.87,4.81,2617.557,14306.247,60285.981
6505,台塑化          ,65.98715209960938,18697.71,75957.29,182723.47,4.07,8.25,14.55,2833.538,11510.921,27690.764
2105,正新            ,40.50764083862305,16560.48,62873.07,196681.1,1.3,3.83,11.45,4088.237,15521.287,48554.074
8464,億豐            ,156.8849639892578,16441.54,14511.86,78076.7,-1.94,2.25,-9.0,1048.0,925.0,4976.6849999999995
2356,英業達          ,14.472824096679688,11698.38,33241.11,-34083.32,1.67,7.27,-2.01,8083.0,22967.947,-23549.876
3042,晶技            ,23.87384033203125,9783.5,21123.57,54422.71,0.35,3.73,12.22,4098.0,8848.0,22795.959
9938,百和            ,71.01679992675781,8395.02,50096.08,81064.15,-0.1,16.25,22.5,1182.117,7054.117,11414.785
2449,京元電子        ,17.277660369873047,7588.0,23247.2,121614.43,2.2,0.36,11.82,4391.799,13455.063,70388.254
1589,永冠-KY         ,198.2533721923828,7493.98,-11373.38,23089.12,0.65,1.98,-1.28,378.0,-573.679,1164.627
1303,南亞            ,41.6353874206543,7139.85,72852.79,207537.6,-0.45,3.4,9.3,1714.851,17497.806,49846.443
2892,第一金          ,8.41425609588623,6999.82,40518.56,120876.74,0.0,0.94,4.22,8319.0,48154.658,143657.067
6239,力成            ,42.25608825683594,6074.87,21742.3,43989.68,0.14,0.14,0.28,1437.632,5145.366,10410.258
1536,和大            ,103.2237777709961,6009.14,23720.04,-81391.87,0.77,7.79,1.15,582.147,2297.924,-7884.992
3481,群創            ,8.58578109741211,5664.04,25476.2,45259.08,-1.8,0.93,19.13,6597.0,29672.553,52713.996
1326,台化            ,51.09352111816406,5656.64,39944.3,133227.06,0.13,2.6,8.98,1107.115,7817.879,26075.138
3044,健鼎            ,36.02504348754883,4998.74,8345.28,15861.74,2.69,3.21,4.81,1387.573,2316.521,4402.976
2395,研華            ,138.87255859375,4800.99,33519.06,116862.16,1.7,1.92,7.9,345.712,2413.656,8415.065
3017,奇鋐            ,21.802627563476562,4785.68,-623.56,-1421.27,1.58,-2.2,-4.46,2195.0,-286.0,-651.8820000000001
2357,華碩            ,150.67086791992188,4764.21,54575.17,113085.64,0.0,1.76,6.84,316.2,3622.145,7505.474999999999
2618,長榮航          ,11.614704132080078,4257.07,-544.68,-12416.76,0.28,3.81,-1.12,3665.24,-468.96100000000024,-10690.552
1101,台泥            ,15.301944732666016,3891.42,24342.87,62584.05,1.42,6.64,9.56,2543.089,15908.349,40899.41
1402,遠東新          ,17.70711326599121,3619.76,15934.59,48758.39,1.1,1.66,8.7,2044.241,8998.974,27536.043999999998
6414,樺漢            ,242.64630126953125,3615.43,26181.54,16548.38,-0.78,0.53,-3.67,149.0,1079.0,681.996
4934,太極            ,38.89524459838867,3555.03,6382.71,11275.73,0.89,0.89,1.56,914.0,1641.0,2899.0
1722,台肥            ,30.63553810119629,3516.96,13025.5,55995.59,0.0,-0.73,7.32,1148.0,4251.762,18277.986
6271,同欣電          ,70.99896240234375,3279.18,8405.3,39775.86,1.07,3.06,18.0,461.863,1183.863,5602.3150000000005
2204,中華            ,27.219648361206055,2975.11,8803.98,-6149.44,1.36,3.96,3.96,1093.0,3234.4210000000003,-2259.193
3576,聯合再生        ,37.5604248046875,2790.74,-4062.68,-15393.66,0.46,-0.46,-11.32,743.0,-1081.638,-4098.371
1312,國喬            ,13.017029762268066,2684.6,6870.27,22621.87,1.46,2.66,4.83,2062.372,5277.911,17378.672
2881,富邦金          ,20.11980628967285,2677.04,41021.45,142419.38,-0.12,1.38,4.4,1330.548,20388.591,70785.661
2723,美食-KY         ,152.77894592285156,2597.24,19250.15,28867.12,-1.74,3.46,22.95,170.0,1260.0,1889.47
3376,新日興          ,81.53413391113281,2564.99,-11025.69,-78485.66,0.0,5.91,7.87,314.591,-1352.279,-9626.110999999999
4904,遠傳            ,47.066307067871094,2320.56,29038.82,37183.32,-0.7,0.42,3.96,493.04,6169.768,7900.2
