代號,名稱,當日收盤價,當日買賣超金額(萬元),5日買賣超金額(萬元),1個月買賣超金額(萬元),當日漲幅(%),5日漲幅(%),1個月漲幅(%),當日買超(張),5日買超(張),1個月買超(張)
2382,廣達            ,301.0,845562.19,1532130.36,3011474.45,3.26,5.24,9.45,28091.767,50901.341,100048.985
3481,群創            ,27.90553092956543,413906.61,1497295.79,1027929.28,6.53,30.07,5.16,148324.218,536558.791,368360.41099999996
2317,鴻海            ,239.0,351976.66,2946340.81,3587113.67,-1.65,5.29,9.13,14727.057,123277.858,150088.438
2344,華邦電          ,123.8515625,293931.1,723631.64,-428314.27,1.63,18.01,18.01,23732.531,58427.332,-34582.871999999996
2603,長榮            ,194.76190185546875,249992.31,732658.09,568126.21,6.6,12.9,9.95,12835.791,37618.142,29170.295
2412,中華電          ,138.0,232369.49,471281.94,478250.25,2.99,3.76,3.76,16838.369,34150.865,34655.815
3665,貿聯-KY         ,1505.0,201551.56,218211.0,344416.39,6.74,10.26,15.77,1339.213,1449.907,2288.4809999999998
1802,台玻            ,67.19999694824219,198509.84,383391.38,-81680.75,9.98,42.83,24.44,29540.156,57052.292,-12154.874000000003
3017,奇鋐            ,1765.0,181633.68,648057.34,3807049.93,0.0,9.97,37.89,1029.086,3671.7130000000006,21569.688000000002
2337,旺宏            ,116.0,168668.12,-655408.19,740175.41,5.45,17.77,58.25,14540.355,-56500.706000000006,63808.225000000006
2049,上銀            ,253.0,162227.14,71941.71,184782.95,10.0,9.05,9.29,6412.14,2843.5460000000003,7303.674
2409,友達            ,16.850000381469727,158684.07,262230.92,140698.9,1.51,4.33,5.97,94174.521,155626.654,83500.83
2313,華通            ,222.28375244140625,154692.2,-678174.48,-1003385.59,9.78,20.38,55.36,6959.222,-30509.404,-45139.852999999996
2327,國巨*           ,289.9197692871094,150505.88,1674018.98,1276030.9,-2.01,14.06,5.23,5191.294,57740.76699999999,44013.242
2408,南亞科          ,285.0,136966.5,-338053.15,-1445661.08,-0.18,2.52,13.55,4805.842,-11861.514,-50724.95
3006,晶豪科          ,170.0,135792.43,73258.66,-107800.71,8.63,10.39,24.09,7987.79,4309.3330000000005,-6341.217999999998
3231,緯創            ,135.0,130045.73,19624.21,-1252988.0,-0.74,2.66,1.12,9633.017,1453.6450000000004,-92813.926
6669,緯穎            ,4033.19189453125,124400.58,336320.61,458606.99,3.75,10.96,15.12,308.442,833.8820000000001,1137.0819999999999
2367,燿華            ,70.9000015258789,110962.2,65583.76,43689.62,9.92,35.05,73.77,15650.521,9250.178000000002,6162.146000000008
6443,元晶            ,49.599998474121094,85964.76,197584.04,213704.17,9.98,33.69,24.62,17331.605,39835.493,43085.520000000004
2303,聯電            ,64.5,84607.86,308765.55,1283079.71,-1.38,2.71,-5.7,13117.497,47870.628,198927.087
2404,漢唐            ,1075.0,75942.52,418805.81,-259021.9,-4.87,16.47,6.44,706.442,3895.868,-2409.5060000000003
2377,微星            ,98.5999984741211,75038.76,103188.54,-174340.95,4.56,8.71,-1.1,7610.422,10465.368999999999,-17681.638
2383,台光電          ,2380.0,70565.33,117473.23,1270305.01,-2.46,8.43,52.56,296.493,493.5850000000001,5337.416
2455,全新            ,237.3878631591797,69158.75,63166.89,140778.48,9.89,32.78,35.41,2913.323,2660.915,5930.315
3045,台灣大          ,108.5,68524.18,120227.02,-22878.89,0.93,1.88,0.93,6315.593,11080.831,-2108.653
2308,台達電          ,1417.58740234375,67498.85,771050.45,-92745.51,-0.35,13.1,25.55,476.153,5439.174000000001,-654.2489999999989
6805,富世達          ,1745.0,67254.39,341094.8,600098.35,2.05,12.94,35.8,385.412,1954.6979999999999,3438.959
2345,智邦            ,1415.0,64923.03,-2595.82,471699.59,1.07,-2.41,23.04,458.82,-18.345,3333.5660000000007
8210,勤誠            ,924.1312866210938,63490.5,-622706.92,-482496.8,1.74,-4.21,2.75,687.029,-6738.295,-5221.085
2467,志聖            ,349.6811828613281,60352.07,139992.17,223707.35,9.97,29.3,38.43,1725.917,4003.423,6397.465999999999
3563,牧德            ,615.8533325195312,57923.59,187761.98,178741.82,10.0,29.28,28.88,940.542,3048.81,2902.344
4989,榮科            ,70.5999984741211,53104.47,76651.13,82160.28,9.97,40.64,14.8,7521.88,10857.101,11637.434
6789,采鈺            ,373.8994445800781,50904.47,129325.99,223060.03,9.94,26.6,42.16,1361.448,3458.844,5965.776
8039,台虹            ,104.95606231689453,49094.09,122344.24,210658.98,9.79,31.64,19.39,4677.585,11656.71,20071.159000000003
