代號,名稱,當日收盤價,當日買賣超金額(萬元),5日買賣超金額(萬元),1個月買賣超金額(萬元),當日漲幅(%),5日漲幅(%),1個月漲幅(%),當日買超(張),5日買超(張),1個月買超(張)
2049,上銀            ,118.74687194824219,49146.25,52171.71,116835.37,8.28,6.51,10.1,4138.741,4393.523,9839.027
1476,儒鴻            ,277.8150939941406,49145.8,40860.91,175237.7,6.03,2.25,25.24,1769.011,1470.795,6307.71
2317,鴻海            ,67.8670883178711,27852.21,285444.52,1176949.34,-0.56,1.7,7.19,4103.935,42059.344,173419.748
1216,統一            ,44.3110466003418,17538.03,58853.25,233934.64,0.63,1.1,0.31,3957.937,13281.847,52793.751000000004
2912,統一超          ,183.34141540527344,17124.09,71140.52,109263.16,-0.19,3.43,2.65,934.0,3880.221,5959.546
2454,聯發科          ,157.4337615966797,16493.52,157808.82,228334.92,-0.6,2.47,5.74,1047.648,10023.823,14503.555
3045,台灣大          ,77.89752197265625,14769.37,64806.59,399730.04,0.43,4.52,3.59,1896.0,8319.468,51314.86
2886,兆豐金          ,15.088699340820312,13830.36,52897.13,102292.18,0.39,4.0,5.69,9166.038,35057.445999999996,67793.903
2308,台達電          ,134.69749450683594,12793.93,100947.26,594168.39,-1.14,1.17,4.85,949.827,7494.368,44111.317
6285,啟碁            ,55.66365432739258,11203.09,39768.25,58403.47,2.63,5.47,9.78,2012.64,7144.383,10492.209
2349,錸德            ,14.050054550170898,8675.91,24700.0,56266.25,-1.84,-4.6,23.92,6175.0,17580.0,40047.0
2301,光寶科          ,27.21891975402832,7919.78,34975.17,136935.11,0.6,3.18,2.44,2909.661,12849.581,50308.798
2884,玉山金          ,8.738473892211914,7038.84,16071.31,9896.64,0.55,2.54,7.2,8055.0,18391.439,11325.367999999999
2610,華航            ,8.056273460388184,6818.83,15322.06,16480.02,1.06,-0.42,5.07,8464.0,19018.794,20456.137
2542,興富發          ,19.59087371826172,6611.45,16663.16,58491.01,1.98,4.05,8.9,3374.759,8505.573,29856.254
2345,智邦            ,38.03811264038086,6070.26,-28422.7,-37364.58,0.42,-8.19,-1.23,1595.837,-7472.1630000000005,-9822.931
8464,億豐            ,243.85604858398438,5486.76,44825.45,98824.15,-4.71,4.4,15.44,225.0,1838.193,4052.561
2458,義隆            ,31.727140426635742,5463.41,13341.74,15457.73,0.52,3.45,6.56,1722.0,4205.15,4872.085
1102,亞泥            ,17.350387573242188,5290.54,14423.66,62828.62,0.34,0.17,2.96,3049.233,8313.162,36211.651
2347,聯強            ,21.944091796875,5114.87,17544.48,58790.03,-0.51,1.44,4.74,2330.863,7995.08,26790.825
6271,同欣電          ,90.75038146972656,5090.58,3157.6,23965.78,5.05,-1.29,0.97,560.943,347.943,2640.846
2880,華南金          ,9.123355865478516,5083.35,29125.36,90956.29,-0.56,2.31,2.91,5571.803,31923.959000000003,99696.088
4904,遠傳            ,50.2752571105957,5023.48,45700.93,245530.5,-0.79,2.59,-0.92,999.196,9090.144,48837.244
1303,南亞            ,40.926422119140625,4821.13,27158.65,81846.06,0.16,2.8,4.54,1178.0,6635.969,19998.343
3545,敦泰            ,31.587284088134766,4413.0,9036.06,9952.07,1.14,3.85,16.76,1397.081,2860.665,3150.657
9911,櫻花            ,24.800859451293945,4181.42,16260.62,36490.89,0.42,10.35,16.56,1686.0,6556.474,14713.558
5880,合庫金          ,7.882607460021973,4070.88,21300.97,64963.16,0.0,4.41,6.55,5164.377,27022.747,82413.289
9904,寶成            ,31.268543243408203,3821.02,13714.25,29329.83,0.11,4.62,4.14,1222.0,4385.959,9379.981
1101,台泥            ,17.34636688232422,3656.61,16347.6,108872.52,-0.14,1.45,3.82,2108.0,9424.219000000001,62763.877
2376,技嘉            ,26.54465675354004,3456.11,8497.32,47052.23,0.84,0.48,9.65,1302.0,3201.142,17725.686999999998
2439,美律            ,72.24896240234375,3244.3,54787.57,99413.89,2.15,24.9,67.61,449.044,7583.163,13759.904999999999
6239,力成            ,51.4189567565918,3187.77,14283.69,140662.89,-0.12,-0.48,13.52,619.96,2777.904,27356.231
