代號,名稱,當日收盤價,當日買賣超金額(萬元),5日買賣超金額(萬元),1個月買賣超金額(萬元),當日漲幅(%),5日漲幅(%),1個月漲幅(%),當日買超(張),5日買超(張),1個月買超(張)
1303,南亞            ,69.69999694824219,481758.94,442601.2,820184.85,9.94,4.03,19.76,69118.933,63500.893000000004,117673.585
1605,華新            ,43.66350555419922,381465.36,354662.92,1086414.14,8.31,15.67,50.42,87364.804,81226.39600000001,248815.14400000003
2345,智邦            ,1240.0,234802.18,-186963.6,244473.56,2.06,-1.98,6.9,1893.566,-1507.7710000000002,1971.5609999999997
3443,創意            ,2493.639404296875,219209.11,150383.41,93941.88,3.51,2.24,24.01,879.073,603.068,376.72599999999994
2303,聯電            ,54.70000076293945,178218.66,283991.84,1678293.49,1.3,3.6,11.18,32581.108,51918.068,306817.81799999997
1301,台塑            ,42.199623107910156,155379.71,228196.72,253740.81,3.78,2.16,6.1,36820.166,54075.534999999996,60128.691999999995
6282,康舒            ,56.5,139825.09,485857.46,509377.54,3.86,33.41,35.65,24747.803,85992.47,90155.316
1802,台玻            ,38.0,136988.85,113612.18,15335.46,9.99,7.95,9.99,36049.698,29897.940999999995,4035.646999999997
1519,華城            ,907.0,133622.69,697236.57,226398.9,1.57,23.4,13.66,1473.238,7687.283,2496.1290000000004
3711,日月光投控      ,298.5,130493.39,481425.78,107081.23,1.36,9.14,30.35,4371.638,16128.167000000001,3587.3110000000006
2481,強茂            ,85.82679748535156,119720.42,162139.24,106181.39,5.56,9.94,9.25,13949.072,18891.447,12371.59
2454,聯發科          ,1490.0,118703.23,485042.38,-21694.4,-0.67,3.11,6.96,796.666,3255.318,-145.59999999999968
1795,美時            ,318.5,113043.8,195444.12,161773.7,6.7,10.98,11.56,3549.256,6136.393,5079.237
1326,台化            ,34.060733795166016,108550.96,125932.94,151068.14,7.99,5.67,6.16,31869.823,36973.056000000004,44352.58
2367,燿華            ,37.099998474121094,101449.64,100608.24,30176.08,6.92,25.34,38.18,27344.918,27118.124,8133.7149999999965
2887,台新新光金      ,21.600000381469727,96581.41,245867.7,1123042.18,1.65,4.1,7.73,44713.616,113827.63900000001,519926.92500000005
3653,健策            ,2380.0,86753.62,58160.77,-660396.21,-2.86,-2.66,-16.2,364.511,244.373,-2774.774
2891,中信金          ,50.400001525878906,86227.33,60744.53,67485.54,2.23,2.13,8.04,17108.596,12052.486,13389.988000000001
1717,長興            ,66.25029754638672,85106.64,92562.86,230121.53,10.0,29.54,72.72,12846.227,13971.689000000002,34735.169
8021,尖點            ,222.5,75424.32,82036.71,163949.01,3.73,14.26,40.38,3389.857,3687.043,7368.494999999999
2313,華通            ,139.60806274414062,72637.08,88717.41,-53761.0,6.42,34.29,63.38,5202.929,6354.7480000000005,-3850.8520000000008
8150,南茂            ,60.82289123535156,71728.11,-70158.18,50907.39,3.7,16.23,40.64,11792.946,-11534.832000000002,8369.774999999998
8046,南電            ,262.9481506347656,63382.99,231373.34,-151480.43,0.76,11.18,5.82,2410.475,8799.199999999999,-5760.848
2455,全新            ,167.3634033203125,61160.38,8669.69,8046.01,5.31,12.33,28.14,3654.346,518.0160000000001,480.75100000000026
0056,元大高股息      ,36.276702880859375,59905.14,183418.31,98777.16,0.13,1.6,5.38,16513.391,50560.911,27228.813000000002
2404,漢唐            ,1150.0,59036.52,172947.92,317753.4,0.0,13.86,21.69,513.361,1503.895,2763.073
3535,晶彩科          ,97.69999694824219,58415.52,34463.29,49277.03,9.9,3.83,14.54,5979.071,3527.4610000000007,5043.7080000000005
6239,力成            ,257.5,55753.69,442838.17,628941.33,2.39,26.85,65.59,2165.192,17197.599000000002,24424.906
2890,永豐金          ,29.0,47212.71,-17795.31,-50517.36,1.22,-0.68,3.39,16280.246,-6136.314000000001,-17419.781000000003
6446,藥華藥          ,534.0,43964.97,136319.52,-25379.1,1.33,3.09,4.5,823.314,2552.8,-475.2639999999998
2883,凱基金          ,16.958093643188477,39362.36,82575.81,251812.46,0.29,-0.28,2.63,23211.545,48694.038,148491.018
6770,力積電          ,51.29999923706055,37177.71,387628.63,1042468.31,1.38,3.32,51.78,7247.118,75561.137,203210.2
2618,長榮航          ,37.5,35259.79,25640.11,173381.93,0.67,2.88,5.49,9402.61,6837.362000000003,46235.181000000004
2882,國泰金          ,72.60689544677734,32469.88,-41698.42,261895.03,0.67,-1.57,7.12,4472.011,-5743.038000000001,36070.27
6257,矽格            ,135.0,30290.26,105631.57,-10030.01,4.25,17.39,39.9,2243.723,7824.561,-742.9639999999995
2485,兆赫            ,36.54999923706055,28251.3,82766.22,67019.55,9.92,43.61,26.91,7729.494,22644.656,18336.403
6531,愛普*           ,466.7968444824219,28155.51,105457.62,681683.83,0.32,3.3,24.83,603.164,2259.1760000000004,14603.437
1319,東陽            ,99.70765686035156,27789.76,43122.02,135636.09,6.49,10.29,18.38,2787.124,4324.845,13603.378
6691,洋基工程        ,624.0,24438.34,36598.41,-174070.92,1.46,6.67,0.32,391.64,586.5129999999999,-2789.598
2881,富邦金          ,94.0999984741211,23726.89,-133208.39,-64095.75,0.32,-2.99,-1.98,2521.455,-14156.046,-6811.451000000002
1476,儒鴻            ,396.3995666503906,21800.75,36424.32,60902.08,1.84,2.6,7.11,549.969,918.879,1536.381
2885,元大金          ,41.849998474121094,21733.98,-2602.56,-6320.01,1.7,1.82,7.86,5193.305,-621.8779999999995,-1510.1569999999983
2880,華南金          ,32.900001525878906,20817.69,30951.61,154880.56,1.54,4.44,4.94,6327.565,9407.785,47076.155999999995
6505,台塑化          ,48.88888931274414,19727.6,14698.29,24203.51,4.38,5.04,1.52,4035.191,3006.4680000000003,4950.718
3045,台灣大          ,108.0,18984.3,-11607.12,85888.46,0.47,0.93,2.86,1757.806,-1074.733,7952.635
2337,旺宏            ,61.900001525878906,18901.18,240048.16,900634.4,3.0,-2.21,66.62,3053.502,38779.993,145498.28399999999
7769,鴻勁            ,3465.0,17356.88,774139.21,2040347.23,-1.14,10.7,8.62,50.092,2234.1679999999997,5888.448
8464,億豐            ,405.3289794921875,16980.97,32994.63,46914.36,6.28,11.61,14.17,418.943,814.021,1157.4389999999999
1560,中砂            ,430.0,16692.47,6977.09,94916.48,1.53,4.24,16.22,388.197,162.25799999999998,2207.3599999999997
6443,元晶            ,38.599998474121094,16413.27,-19329.39,25845.03,-1.53,23.72,66.02,4252.142,-5007.614,6695.603999999998
2645,長榮航太        ,155.0,16040.61,6273.64,-7846.8,2.99,2.65,9.15,1034.878,404.75099999999975,-506.24500000000023
2605,新興            ,27.546823501586914,15645.6,37604.92,71068.94,2.15,5.75,10.47,5679.638,13651.274,25799.323
2329,華泰            ,58.763328552246094,15076.45,8531.64,34094.54,1.18,6.02,22.87,2565.623,1451.864,5802.009000000001
2634,漢翔            ,56.0,14568.46,14296.93,46775.85,1.08,2.0,11.78,2601.511,2553.0239999999976,8352.830999999998
5469,瀚宇博          ,97.69999694824219,13880.91,48838.44,77922.82,1.14,7.24,3.5,1420.769,4998.817,7975.724
2369,菱生            ,27.549999237060547,13803.39,21746.32,12507.94,3.18,11.54,15.76,5010.305,7893.403,4540.089000000001
1216,統一            ,76.0,13436.94,-43232.8,87007.33,0.66,0.53,1.74,1768.018,-5688.526,11448.333000000002
6005,群益證          ,27.350000381469727,13266.56,33993.55,-20977.77,0.0,0.92,10.28,4850.662,12429.085,-7670.117000000001
1590,亞德客-KY       ,1015.0,13150.85,72120.82,125997.23,1.5,3.36,7.98,129.565,710.55,1241.3519999999999
2892,第一金          ,29.799999237060547,12215.2,-35515.26,-49298.46,1.36,0.51,3.11,4099.06,-11917.872999999998,-16543.109
6191,精成科          ,115.5,11607.84,-287.42,-72121.1,0.87,6.45,-0.43,1005.008,-24.88499999999999,-6244.251
8131,福懋科          ,67.5,11519.77,8657.3,5448.34,0.15,0.3,48.51,1706.632,1282.563,807.162
2492,華新科          ,134.0,11497.74,44875.39,180155.34,-0.37,9.39,18.06,858.04,3348.91,13444.428
1503,士電            ,197.0,11355.28,64768.93,112190.73,-0.51,14.53,18.67,576.41,3287.763,5694.961
1402,遠東新          ,28.5,10697.99,16375.33,11266.08,0.71,0.88,2.15,3753.68,5745.731,3953.0109999999995
6155,鈞寶            ,60.70000076293945,10631.22,7353.94,15639.57,9.96,33.41,47.33,1751.436,1211.523,2576.536
2027,大成鋼          ,37.04999923706055,10517.63,36809.57,-403415.67,1.09,3.49,0.41,2838.766,9935.106,-108884.12400000001
1312,國喬            ,13.75,10480.78,8990.47,10712.85,7.0,15.06,17.52,7622.382,6538.521,7791.164999999999
2886,兆豐金          ,40.650001525878906,10439.82,-26895.28,-283015.77,0.37,0.49,0.74,2568.221,-6616.305,-69622.573
4989,榮科            ,66.5,10391.52,53780.12,67025.53,9.92,33.53,63.59,1562.634,8087.236,10079.027
2478,大毅            ,70.5999984741211,10366.4,19741.96,30492.8,0.57,14.98,29.07,1468.329,2796.312,4319.094
1101,台泥            ,25.0,10194.71,-2423.18,128044.82,0.2,6.61,12.11,4077.882,-969.271000000002,51217.929
9933,中鼎            ,33.54999923706055,9713.93,37021.84,28287.71,1.36,6.51,6.17,2895.36,11034.827,8431.507
1608,華榮            ,39.099998474121094,9089.5,23483.58,-4399.24,0.77,3.3,5.82,2324.68,6006.031,-1125.1259999999997
3149,正達            ,45.099998474121094,8497.99,2858.06,-13704.22,2.97,10.81,34.23,1884.255,633.7170000000001,-3038.6300000000006
6414,樺漢            ,286.2689208984375,8442.04,21180.41,17591.11,0.0,2.06,2.95,294.899,739.8779999999999,614.4959999999999
2610,華航            ,21.350000381469727,8347.71,92414.07,235845.35,0.71,4.66,9.21,3909.936,43285.277,110466.204
1314,中石化          ,8.270000457763672,8321.24,22452.22,43778.53,1.6,3.12,6.71,10061.956,27148.995,52936.545
6515,穎崴            ,3450.0,7999.17,140250.44,253040.25,-1.29,8.66,24.55,23.186,406.523,733.45
6670,復盛應用        ,264.3902587890625,7853.71,25439.79,7870.0,0.9,6.67,8.95,297.05,962.2059999999999,297.66599999999994
2355,敬鵬            ,35.79999923706055,7294.3,5456.78,-314.69,4.22,14.74,11.01,2037.513,1524.2399999999998,-87.90200000000014
2606,裕民            ,58.74583053588867,7079.78,12085.89,23635.83,1.16,-0.16,-0.65,1205.155,2057.319,4023.4060000000004
8112,至上            ,76.69999694824219,6362.79,-54298.75,50549.89,-0.65,-5.89,9.89,829.568,-7079.3679999999995,6590.599000000002
6919,康霈*           ,165.0,5962.36,26817.76,24088.45,10.0,16.2,4.76,361.355,1625.319,1459.906
2328,廣宇            ,49.37138366699219,5949.49,21536.39,17395.4,3.39,5.01,8.87,1205.048,4362.119,3523.3779999999997
2441,超豐            ,96.19999694824219,5903.7,10958.47,-21574.56,0.42,9.82,16.89,613.69,1139.134,-2242.6779999999994
8028,昇陽半導體      ,188.31124877929688,5691.39,-57669.42,297122.89,0.8,-1.04,12.76,302.233,-3062.452,15778.287
2731,雄獅            ,160.12557983398438,5664.22,14648.45,21096.24,0.58,3.59,5.81,353.736,914.8100000000001,1317.481
2637,慧洋-KY         ,68.59801483154297,5639.31,62486.83,165697.01,0.14,3.17,8.64,822.081,9109.131,24154.782
1536,和大            ,59.400001525878906,5637.3,20607.42,5999.0,2.24,8.39,1.89,949.041,3469.263,1009.9320000000001
2493,揚博            ,127.0,5632.97,16707.64,34095.86,1.2,-0.39,27.25,443.541,1315.562,2684.713
5434,崇越            ,330.0,5576.47,34308.32,5095.2,1.85,9.45,10.92,168.984,1039.646,154.40000000000003
6831,邁科            ,244.18673706054688,5567.7,9920.4,34787.16,-2.38,-8.89,3.58,228.01,406.2629999999999,1424.6129999999998
1304,台聚            ,11.899999618530273,5523.1,8011.34,2463.82,3.03,5.78,4.39,4641.262,6732.215,2070.441
8033,雷虎            ,154.0,5513.2,3448.35,15221.28,0.0,-2.84,10.0,358.0,223.9190000000001,988.3949999999998
2727,王品            ,220.0,5510.89,12942.64,24854.59,0.23,1.85,3.04,250.495,588.302,1129.754
9904,寶成            ,31.700000762939453,5484.6,44675.1,29853.98,0.16,2.92,1.44,1730.157,14093.091,9417.66
8271,宇瞻            ,121.0,5455.09,-30354.92,-12583.32,-1.22,-4.72,34.0,450.834,-2508.6710000000003,-1039.944
4526,東台            ,34.29999923706055,5364.54,4188.85,1724.12,-0.44,11.54,18.89,1564.005,1221.24,502.65899999999965
