代號,名稱,當日收盤價,當日買賣超金額(萬元),5日買賣超金額(萬元),1個月買賣超金額(萬元),當日漲幅(%),5日漲幅(%),1個月漲幅(%),當日買超(張),5日買超(張),1個月買超(張)
6139,亞翔            ,825.0,276256.53,130868.84,158174.11,5.23,6.87,14.42,3348.564,1586.2889999999998,1917.2619999999993
2449,京元電子        ,322.0,271873.07,338774.3,-1881960.33,-0.16,0.62,-5.01,8443.263,10520.941,-58445.973
2883,凱基金          ,27.399999618530273,176242.2,355764.73,79286.9,6.61,23.7,22.05,64321.973,129841.144,28936.824000000004
2887,台新新光金      ,28.549999237060547,164670.7,820209.7,549898.2,0.88,24.13,18.96,57678.006,287288.871,192608.832
2404,漢唐            ,1230.0,139865.02,-247652.01,1289647.62,6.49,6.03,23.37,1137.114,-2013.431,10484.939999999999
2912,統一超          ,246.0,139801.8,444608.25,11952.5,2.93,18.84,7.66,5683.0,18073.506,485.8740000000005
4967,十銓            ,302.0,133344.45,151631.09,-55348.45,1.0,11.65,1.68,4415.379,5020.897,-1832.7299999999996
6442,光聖            ,2145.0,111389.21,44599.48,-417600.18,3.87,13.19,2.39,519.297,207.923,-1946.854
6282,康舒            ,70.80000305175781,105529.95,132763.29,600071.71,9.94,22.7,39.64,14905.359,18751.876999999997,84755.88699999999
8996,高力            ,1120.0,101994.14,82351.47,163254.11,2.28,2.28,4.19,910.662,735.2810000000001,1457.6260000000002
2892,第一金          ,29.549999237060547,97460.27,231938.94,-634901.67,1.9,8.44,1.37,32981.479,78490.337,-214856.746
2880,華南金          ,37.70000076293945,93441.24,294804.99,-60912.71,3.57,27.36,13.21,24785.475,78197.609,-16157.217000000002
2884,玉山金          ,33.45000076293945,92959.48,318590.81,-132548.82,1.36,8.96,4.21,27790.577,95243.888,-39625.953
1301,台塑            ,50.79999923706055,85171.12,264775.37,-6330.78,-2.31,12.76,2.52,16765.969,52121.137,-1246.2160000000022
6770,力積電          ,81.0,82323.21,-1076656.13,1811132.41,-4.26,0.37,26.76,10163.359,-132920.51,223596.59399999998
2890,永豐金          ,33.150001525878906,77836.6,458783.15,422770.7,0.45,12.37,7.28,23480.12,138396.117,127532.635
6515,穎崴            ,8650.0,73807.86,-132486.86,-245849.43,5.23,-5.15,-12.27,85.327,-153.164,-284.21899999999994
2360,致茂            ,2598.02587890625,65829.56,-102855.07,391669.29,2.95,1.95,12.69,253.383,-395.897,1507.565
